count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,7.858021259307861,0.0,0.0,0.0,0.0,7.858021259307861,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,8.028707504272461,0.0,0.0,0.0,0.0,8.028707504272461,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,8.02238655090332,0.0,0.0,0.0,0.0,8.02238655090332,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,7.940202713012695,0.0,0.0,0.0,0.0,7.940202713012695,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,7.933882236480713,0.0,0.0,0.0,0.0,7.933882236480713,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,7.858021259307861,0.0,0.0,0.0,0.0,7.858021259307861,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,7.77583646774292,0.0,0.0,0.0,0.0,7.77583646774292,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,7.725260257720947,0.0,0.0,0.0,0.0,7.725260257720947,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,7.807444095611572,0.0,0.0,0.0,0.0,7.807444095611572,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,7.876986026763916,0.0,0.0,0.0,0.0,7.876986026763916,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,7.813765525817871,0.0,0.0,0.0,0.0,7.813765525817871,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,7.858021259307861,0.0,0.0,0.0,0.0,7.858021259307861,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,7.712618350982666,0.0,0.0,0.0,0.0,7.712618350982666,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,7.820086479187012,0.0,0.0,0.0,0.0,7.820086479187012,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,7.990777969360352,0.0,0.0,0.0,0.0,7.990777969360352,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,7.940202713012695,0.0,0.0,0.0,0.0,7.940202713012695,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,7.965490341186523,0.0,0.0,0.0,0.0,7.965490341186523,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,7.9465250968933105,0.0,0.0,0.0,0.0,7.9465250968933105,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,7.952847480773926,0.0,0.0,0.0,0.0,7.952847480773926,0.0,0.0,0.0,0.0,0.0
