count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,47.65169906616211,0.0,0.0,0.0,0.0,47.65169906616211,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,47.89193344116211,0.0,0.0,0.0,0.0,47.89193344116211,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,48.53760528564453,0.0,0.0,0.0,0.0,48.53760528564453,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,48.372432708740234,0.0,0.0,0.0,0.0,48.372432708740234,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,48.53760528564453,0.0,0.0,0.0,0.0,48.53760528564453,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,48.15471267700195,0.0,0.0,0.0,0.0,48.15471267700195,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,47.30632400512695,0.0,0.0,0.0,0.0,47.30632400512695,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,46.780784606933594,0.0,0.0,0.0,0.0,46.780784606933594,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,47.3588752746582,0.0,0.0,0.0,0.0,47.3588752746582,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,47.479007720947266,0.0,0.0,0.0,0.0,47.479007720947266,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,48.12467575073242,0.0,0.0,0.0,0.0,48.12467575073242,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,48.00455093383789,0.0,0.0,0.0,0.0,48.00455093383789,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,48.19975280761719,0.0,0.0,0.0,0.0,48.19975280761719,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,48.19975280761719,0.0,0.0,0.0,0.0,48.19975280761719,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,48.03458786010742,0.0,0.0,0.0,0.0,48.03458786010742,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,48.304866790771484,0.0,0.0,0.0,0.0,48.304866790771484,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,48.16973114013672,0.0,0.0,0.0,0.0,48.16973114013672,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,48.83790969848633,0.0,0.0,0.0,0.0,48.83790969848633,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,48.35741424560547,0.0,0.0,0.0,0.0,48.35741424560547,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,48.965553283691406,0.0,0.0,0.0,0.0,48.965553283691406,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,48.86793518066406,0.0,0.0,0.0,0.0,48.86793518066406,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,49.23582077026367,0.0,0.0,0.0,0.0,49.23582077026367,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,49.363441467285156,0.0,0.0,0.0,0.0,49.363441467285156,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,49.491085052490234,0.0,0.0,0.0,0.0,49.491085052490234,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,49.34844970703125,0.0,0.0,0.0,0.0,49.34844970703125,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,49.5811653137207,0.0,0.0,0.0,0.0,49.5811653137207,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,49.97908020019531,0.0,0.0,0.0,0.0,49.97908020019531,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,49.88899230957031,0.0,0.0,0.0,0.0,49.88899230957031,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,50.07668685913086,0.0,0.0,0.0,0.0,50.07668685913086,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,50.384498596191406,0.0,0.0,0.0,0.0,50.384498596191406,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,50.41453170776367,0.0,0.0,0.0,0.0,50.41453170776367,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,50.15926742553711,0.0,0.0,0.0,0.0,50.15926742553711,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,50.5496826171875,0.0,0.0,0.0,0.0,50.5496826171875,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,50.60974884033203,0.0,0.0,0.0,0.0,50.60974884033203,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,50.3244514465332,0.0,0.0,0.0,0.0,50.3244514465332,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,50.834983825683594,0.0,0.0,0.0,0.0,50.834983825683594,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,51.000144958496094,0.0,0.0,0.0,0.0,51.000144958496094,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,52.34404373168945,0.0,0.0,0.0,0.0,52.34404373168945,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,51.720882415771484,0.0,0.0,0.0,0.0,51.720882415771484,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,52.03620910644531,0.0,0.0,0.0,0.0,52.03620910644531,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,52.24643325805664,0.0,0.0,0.0,0.0,52.24643325805664,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,52.42661666870117,0.0,0.0,0.0,0.0,52.42661666870117,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,51.67584228515625,0.0,0.0,0.0,0.0,51.67584228515625,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,52.00616455078125,0.0,0.0,0.0,0.0,52.00616455078125,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,52.41910171508789,0.0,0.0,0.0,0.0,52.41910171508789,0.0,0.0,0.0,0.0,0.0
46,2011-05-10,52.57676696777344,0.0,0.0,0.0,0.0,52.57676696777344,0.0,0.0,0.0,0.0,0.0
47,2011-05-11,52.70439147949219,0.0,0.0,0.0,0.0,52.70439147949219,0.0,0.0,0.0,0.0,0.0
48,2011-05-12,53.274986267089844,0.0,0.0,0.0,0.0,53.274986267089844,0.0,0.0,0.0,0.0,0.0
49,2011-05-13,52.974674224853516,0.0,0.0,0.0,0.0,52.974674224853516,0.0,0.0,0.0,0.0,0.0
50,2011-05-16,53.094818115234375,0.0,0.0,0.0,0.0,53.094818115234375,0.0,0.0,0.0,0.0,0.0
51,2011-05-17,53.387603759765625,0.0,0.0,0.0,0.0,53.387603759765625,0.0,0.0,0.0,0.0,0.0
52,2011-05-18,53.507720947265625,0.0,0.0,0.0,0.0,53.507720947265625,0.0,0.0,0.0,0.0,0.0
53,2011-05-19,53.890628814697266,0.0,0.0,0.0,0.0,53.890628814697266,0.0,0.0,0.0,0.0,0.0
54,2011-05-20,53.53025436401367,0.0,0.0,0.0,0.0,53.53025436401367,0.0,0.0,0.0,0.0,0.0
55,2011-05-23,53.33505630493164,0.0,0.0,0.0,0.0,53.33505630493164,0.0,0.0,0.0,0.0,0.0
56,2011-05-24,53.29001998901367,0.0,0.0,0.0,0.0,53.29001998901367,0.0,0.0,0.0,0.0,0.0
57,2011-05-25,52.892093658447266,0.0,0.0,0.0,0.0,52.892093658447266,0.0,0.0,0.0,0.0,0.0
58,2011-05-26,52.869564056396484,0.0,0.0,0.0,0.0,52.869564056396484,0.0,0.0,0.0,0.0,0.0
59,2011-05-27,52.85456085205078,0.0,0.0,0.0,0.0,52.85456085205078,0.0,0.0,0.0,0.0,0.0
60,2011-05-31,53.395118713378906,0.0,0.0,0.0,0.0,53.395118713378906,0.0,0.0,0.0,0.0,0.0
61,2011-06-01,53.15689468383789,0.0,0.0,0.0,0.0,53.15689468383789,0.0,0.0,0.0,0.0,0.0
62,2011-06-02,52.5670166015625,0.0,0.0,0.0,0.0,53.0820166015625,0.0,0.0,0.0,0.0,0.515
63,2011-06-03,52.158634185791016,0.0,0.0,0.0,0.0,52.673634185791016,0.0,0.0,0.0,0.0,0.515
64,2011-06-06,52.098140716552734,0.0,0.0,0.0,0.0,52.613140716552735,0.0,0.0,0.0,0.0,0.515
65,2011-06-07,52.128395080566406,0.0,0.0,0.0,0.0,52.64339508056641,0.0,0.0,0.0,0.0,0.515
66,2011-06-08,52.060340881347656,0.0,0.0,0.0,0.0,52.57534088134766,0.0,0.0,0.0,0.0,0.515
67,2011-06-09,52.5670166015625,0.0,0.0,0.0,0.0,53.0820166015625,0.0,0.0,0.0,0.0,0.515
68,2011-06-10,51.9468994140625,0.0,0.0,0.0,0.0,52.4618994140625,0.0,0.0,0.0,0.0,0.515
69,2011-06-13,52.226707458496094,0.0,0.0,0.0,0.0,52.741707458496094,0.0,0.0,0.0,0.0,0.515
70,2011-06-14,52.61240005493164,0.0,0.0,0.0,0.0,53.12740005493164,0.0,0.0,0.0,0.0,0.515
71,2011-06-15,51.78809356689453,0.0,0.0,0.0,0.0,52.30309356689453,0.0,0.0,0.0,0.0,0.515
72,2011-06-16,52.098140716552734,0.0,0.0,0.0,0.0,52.613140716552735,0.0,0.0,0.0,0.0,0.515
73,2011-06-17,51.969573974609375,0.0,0.0,0.0,0.0,52.484573974609376,0.0,0.0,0.0,0.0,0.515
74,2011-06-20,52.16620635986328,0.0,0.0,0.0,0.0,52.68120635986328,0.0,0.0,0.0,0.0,0.515
75,2011-06-21,52.128395080566406,0.0,0.0,0.0,0.0,52.64339508056641,0.0,0.0,0.0,0.0,0.515
76,2011-06-22,52.01496505737305,0.0,0.0,0.0,0.0,52.52996505737305,0.0,0.0,0.0,0.0,0.515
77,2011-06-23,51.40996551513672,0.0,0.0,0.0,0.0,51.92496551513672,0.0,0.0,0.0,0.0,0.515
78,2011-06-24,51.76538848876953,0.0,0.0,0.0,0.0,52.28038848876953,0.0,0.0,0.0,0.0,0.515
79,2011-06-27,52.21915054321289,0.0,0.0,0.0,0.0,52.73415054321289,0.0,0.0,0.0,0.0,0.515
80,2011-06-28,52.65019226074219,0.0,0.0,0.0,0.0,53.16519226074219,0.0,0.0,0.0,0.0,0.515
81,2011-06-29,52.90733337402344,0.0,0.0,0.0,0.0,53.42233337402344,0.0,0.0,0.0,0.0,0.515
82,2011-06-30,53.26276779174805,0.0,0.0,0.0,0.0,53.77776779174805,0.0,0.0,0.0,0.0,0.515
83,2011-07-01,53.08125305175781,0.0,0.0,0.0,0.0,53.59625305175781,0.0,0.0,0.0,0.0,0.515
84,2011-07-05,52.76364517211914,0.0,0.0,0.0,0.0,53.27864517211914,0.0,0.0,0.0,0.0,0.515
85,2011-07-06,53.06612777709961,0.0,0.0,0.0,0.0,53.58112777709961,0.0,0.0,0.0,0.0,0.515
86,2011-07-07,53.3308219909668,0.0,0.0,0.0,0.0,53.8458219909668,0.0,0.0,0.0,0.0,0.515
87,2011-07-08,52.884639739990234,0.0,0.0,0.0,0.0,53.399639739990235,0.0,0.0,0.0,0.0,0.515
88,2011-07-11,52.40821838378906,0.0,0.0,0.0,0.0,52.92321838378906,0.0,0.0,0.0,0.0,0.515
89,2011-07-12,52.18888854980469,0.0,0.0,0.0,0.0,52.70388854980469,0.0,0.0,0.0,0.0,0.515
90,2011-07-13,52.098140716552734,0.0,0.0,0.0,0.0,52.613140716552735,0.0,0.0,0.0,0.0,0.515
91,2011-07-14,51.87882995605469,0.0,0.0,0.0,0.0,52.39382995605469,0.0,0.0,0.0,0.0,0.515
