count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,45.370201110839844,0.0,0.0,0.0,0.0,45.370201110839844,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,45.62018585205078,0.0,0.0,0.0,0.0,45.62018585205078,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,45.583412170410156,0.0,0.0,0.0,0.0,45.583412170410156,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,45.208457946777344,0.0,0.0,0.0,0.0,45.208457946777344,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,45.208457946777344,0.0,0.0,0.0,0.0,45.208457946777344,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,45.10552978515625,0.0,0.0,0.0,0.0,45.10552978515625,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,44.598243713378906,0.0,0.0,0.0,0.0,44.598243713378906,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,43.91448211669922,0.0,0.0,0.0,0.0,43.91448211669922,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,44.42912292480469,0.0,0.0,0.0,0.0,44.42912292480469,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,44.554100036621094,0.0,0.0,0.0,0.0,44.554100036621094,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,45.06877517700195,0.0,0.0,0.0,0.0,45.06877517700195,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,44.79674530029297,0.0,0.0,0.0,0.0,44.79674530029297,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,44.78204345703125,0.0,0.0,0.0,0.0,44.78204345703125,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,44.951133728027344,0.0,0.0,0.0,0.0,44.951133728027344,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,44.75997543334961,0.0,0.0,0.0,0.0,44.75997543334961,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,44.598243713378906,0.0,0.0,0.0,0.0,44.598243713378906,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,45.05406188964844,0.0,0.0,0.0,0.0,45.05406188964844,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,45.561363220214844,0.0,0.0,0.0,0.0,45.561363220214844,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,45.28932571411133,0.0,0.0,0.0,0.0,45.28932571411133,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,45.642234802246094,0.0,0.0,0.0,0.0,45.642234802246094,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,45.77457046508789,0.0,0.0,0.0,0.0,45.77457046508789,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,45.340789794921875,0.0,0.0,0.0,0.0,45.340789794921875,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,45.406959533691406,0.0,0.0,0.0,0.0,45.406959533691406,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,45.67900085449219,0.0,0.0,0.0,0.0,45.67900085449219,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,45.50989532470703,0.0,0.0,0.0,0.0,45.50989532470703,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,45.72310256958008,0.0,0.0,0.0,0.0,45.72310256958008,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,46.237770080566406,0.0,0.0,0.0,0.0,46.237770080566406,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,46.31128692626953,0.0,0.0,0.0,0.0,46.31128692626953,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,46.5391960144043,0.0,0.0,0.0,0.0,46.5391960144043,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,47.18619155883789,0.0,0.0,0.0,0.0,47.18619155883789,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,47.05384826660156,0.0,0.0,0.0,0.0,47.05384826660156,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,46.950923919677734,0.0,0.0,0.0,0.0,46.950923919677734,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,46.84798812866211,0.0,0.0,0.0,0.0,46.84798812866211,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,46.51715087890625,0.0,0.0,0.0,0.0,46.51715087890625,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,46.59065628051758,0.0,0.0,0.0,0.0,46.59065628051758,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,46.928863525390625,0.0,0.0,0.0,0.0,46.928863525390625,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,47.458892822265625,0.0,0.0,0.0,0.0,47.458892822265625,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,47.814727783203125,0.0,0.0,0.0,0.0,48.339727783203124,0.0,0.0,0.0,0.0,0.525
39,2011-04-29,48.111263275146484,0.0,0.0,0.0,0.0,48.63626327514648,0.0,0.0,0.0,0.0,0.525
40,2011-05-02,48.318843841552734,0.0,0.0,0.0,0.0,48.84384384155273,0.0,0.0,0.0,0.0,0.525
41,2011-05-03,48.711727142333984,0.0,0.0,0.0,0.0,49.23672714233398,0.0,0.0,0.0,0.0,0.525
42,2011-05-04,49.27512741088867,0.0,0.0,0.0,0.0,49.80012741088867,0.0,0.0,0.0,0.0,0.525
43,2011-05-05,48.837738037109375,0.0,0.0,0.0,0.0,49.362738037109374,0.0,0.0,0.0,0.0,0.525
44,2011-05-06,48.38554000854492,0.0,0.0,0.0,0.0,48.91054000854492,0.0,0.0,0.0,0.0,0.525
45,2011-05-09,48.28917694091797,0.0,0.0,0.0,0.0,48.81417694091797,0.0,0.0,0.0,0.0,0.525
46,2011-05-10,48.7265625,0.0,0.0,0.0,0.0,49.2515625,0.0,0.0,0.0,0.0,0.525
47,2011-05-11,48.86740493774414,0.0,0.0,0.0,0.0,49.39240493774414,0.0,0.0,0.0,0.0,0.525
48,2011-05-12,49.54940414428711,0.0,0.0,0.0,0.0,50.07440414428711,0.0,0.0,0.0,0.0,0.525
49,2011-05-13,49.564239501953125,0.0,0.0,0.0,0.0,50.089239501953124,0.0,0.0,0.0,0.0,0.525
50,2011-05-16,49.62355041503906,0.0,0.0,0.0,0.0,50.14855041503906,0.0,0.0,0.0,0.0,0.525
51,2011-05-17,49.9793701171875,0.0,0.0,0.0,0.0,50.5043701171875,0.0,0.0,0.0,0.0,0.525
52,2011-05-18,49.949703216552734,0.0,0.0,0.0,0.0,50.47470321655273,0.0,0.0,0.0,0.0,0.525
53,2011-05-19,50.009010314941406,0.0,0.0,0.0,0.0,50.534010314941405,0.0,0.0,0.0,0.0,0.525
54,2011-05-20,49.934898376464844,0.0,0.0,0.0,0.0,50.45989837646484,0.0,0.0,0.0,0.0,0.525
55,2011-05-23,49.70509338378906,0.0,0.0,0.0,0.0,50.23009338378906,0.0,0.0,0.0,0.0,0.525
56,2011-05-24,49.67543411254883,0.0,0.0,0.0,0.0,50.20043411254883,0.0,0.0,0.0,0.0,0.525
57,2011-05-25,49.208396911621094,0.0,0.0,0.0,0.0,49.73339691162109,0.0,0.0,0.0,0.0,0.525
58,2011-05-26,49.06755828857422,0.0,0.0,0.0,0.0,49.59255828857422,0.0,0.0,0.0,0.0,0.525
59,2011-05-27,49.07497024536133,0.0,0.0,0.0,0.0,49.59997024536133,0.0,0.0,0.0,0.0,0.525
60,2011-05-31,49.668025970458984,0.0,0.0,0.0,0.0,50.19302597045898,0.0,0.0,0.0,0.0,0.525
61,2011-06-01,49.22323226928711,0.0,0.0,0.0,0.0,49.74823226928711,0.0,0.0,0.0,0.0,0.525
62,2011-06-02,48.934120178222656,0.0,0.0,0.0,0.0,49.459120178222655,0.0,0.0,0.0,0.0,0.525
63,2011-06-03,48.504150390625,0.0,0.0,0.0,0.0,49.029150390625,0.0,0.0,0.0,0.0,0.525
64,2011-06-06,48.55604934692383,0.0,0.0,0.0,0.0,49.08104934692383,0.0,0.0,0.0,0.0,0.525
65,2011-06-07,48.229854583740234,0.0,0.0,0.0,0.0,48.75485458374023,0.0,0.0,0.0,0.0,0.525
66,2011-06-08,48.07419967651367,0.0,0.0,0.0,0.0,48.59919967651367,0.0,0.0,0.0,0.0,0.525
67,2011-06-09,48.192806243896484,0.0,0.0,0.0,0.0,48.71780624389648,0.0,0.0,0.0,0.0,0.525
68,2011-06-10,47.96299743652344,0.0,0.0,0.0,0.0,48.487997436523436,0.0,0.0,0.0,0.0,0.525
69,2011-06-13,48.014896392822266,0.0,0.0,0.0,0.0,48.539896392822264,0.0,0.0,0.0,0.0,0.525
70,2011-06-14,48.007484436035156,0.0,0.0,0.0,0.0,48.532484436035155,0.0,0.0,0.0,0.0,0.525
71,2011-06-15,47.26616668701172,0.0,0.0,0.0,0.0,47.79116668701172,0.0,0.0,0.0,0.0,0.525
72,2011-06-16,47.63682556152344,0.0,0.0,0.0,0.0,48.161825561523436,0.0,0.0,0.0,0.0,0.525
73,2011-06-17,47.95559310913086,0.0,0.0,0.0,0.0,48.48059310913086,0.0,0.0,0.0,0.0,0.525
74,2011-06-20,48.25210952758789,0.0,0.0,0.0,0.0,48.77710952758789,0.0,0.0,0.0,0.0,0.525
75,2011-06-21,47.60717010498047,0.0,0.0,0.0,0.0,48.13217010498047,0.0,0.0,0.0,0.0,0.525
76,2011-06-22,47.488555908203125,0.0,0.0,0.0,0.0,48.013555908203124,0.0,0.0,0.0,0.0,0.525
77,2011-06-23,47.04377365112305,0.0,0.0,0.0,0.0,47.568773651123045,0.0,0.0,0.0,0.0,0.525
78,2011-06-24,46.39883804321289,0.0,0.0,0.0,0.0,46.92383804321289,0.0,0.0,0.0,0.0,0.525
79,2011-06-27,46.569332122802734,0.0,0.0,0.0,0.0,47.09433212280273,0.0,0.0,0.0,0.0,0.525
80,2011-06-28,46.495201110839844,0.0,0.0,0.0,0.0,47.02020111083984,0.0,0.0,0.0,0.0,0.525
81,2011-06-29,46.369171142578125,0.0,0.0,0.0,0.0,46.894171142578124,0.0,0.0,0.0,0.0,0.525
82,2011-06-30,47.12532043457031,0.0,0.0,0.0,0.0,47.65032043457031,0.0,0.0,0.0,0.0,0.525
83,2011-07-01,47.64424133300781,0.0,0.0,0.0,0.0,48.16924133300781,0.0,0.0,0.0,0.0,0.525
84,2011-07-05,47.63682556152344,0.0,0.0,0.0,0.0,48.161825561523436,0.0,0.0,0.0,0.0,0.525
85,2011-07-06,47.96299743652344,0.0,0.0,0.0,0.0,48.487997436523436,0.0,0.0,0.0,0.0,0.525
86,2011-07-07,48.14832305908203,0.0,0.0,0.0,0.0,48.67332305908203,0.0,0.0,0.0,0.0,0.525
87,2011-07-08,48.13349914550781,0.0,0.0,0.0,0.0,48.65849914550781,0.0,0.0,0.0,0.0,0.525
88,2011-07-11,47.977840423583984,0.0,0.0,0.0,0.0,48.50284042358398,0.0,0.0,0.0,0.0,0.525
89,2011-07-12,47.83697509765625,0.0,0.0,0.0,0.0,48.36197509765625,0.0,0.0,0.0,0.0,0.525
90,2011-07-13,47.91852569580078,0.0,0.0,0.0,0.0,48.44352569580078,0.0,0.0,0.0,0.0,0.525
91,2011-07-14,47.88886642456055,0.0,0.0,0.0,0.0,48.413866424560545,0.0,0.0,0.0,0.0,0.525
92,2011-07-15,48.059364318847656,0.0,0.0,0.0,0.0,48.584364318847655,0.0,0.0,0.0,0.0,0.525
93,2011-07-18,47.85179138183594,0.0,0.0,0.0,0.0,48.376791381835936,0.0,0.0,0.0,0.0,0.525
94,2011-07-19,47.896278381347656,0.0,0.0,0.0,0.0,48.421278381347655,0.0,0.0,0.0,0.0,0.525
95,2011-07-20,47.98221969604492,0.0,0.0,0.0,0.0,48.50721969604492,0.0,0.0,0.0,0.0,0.525
96,2011-07-21,48.1989631652832,0.0,0.0,0.0,0.0,49.2489631652832,0.0,0.0,0.0,0.0,1.05
97,2011-07-22,48.01959228515625,0.0,0.0,0.0,0.0,49.06959228515625,0.0,0.0,0.0,0.0,1.05
98,2011-07-25,47.31706619262695,0.0,0.0,0.0,0.0,48.36706619262695,0.0,0.0,0.0,0.0,1.05
99,2011-07-26,47.15262222290039,0.0,0.0,0.0,0.0,48.20262222290039,0.0,0.0,0.0,0.0,1.05
100,2011-07-27,46.487457275390625,0.0,0.0,0.0,0.0,47.53745727539062,0.0,0.0,0.0,0.0,1.05
101,2011-07-28,46.27818298339844,0.0,0.0,0.0,0.0,47.328182983398435,0.0,0.0,0.0,0.0,1.05
102,2011-07-29,45.95680618286133,0.0,0.0,0.0,0.0,47.006806182861325,0.0,0.0,0.0,0.0,1.05
103,2011-08-01,45.91196823120117,0.0,0.0,0.0,0.0,46.96196823120117,0.0,0.0,0.0,0.0,1.05
104,2011-08-02,45.493438720703125,0.0,0.0,0.0,0.0,46.54343872070312,0.0,0.0,0.0,0.0,1.05
105,2011-08-03,45.3887939453125,0.0,0.0,0.0,0.0,46.4387939453125,0.0,0.0,0.0,0.0,1.05
106,2011-08-04,44.529300689697266,0.0,0.0,0.0,0.0,45.57930068969726,0.0,0.0,0.0,0.0,1.05
107,2011-08-05,45.28416061401367,0.0,0.0,0.0,0.0,46.33416061401367,0.0,0.0,0.0,0.0,1.05
108,2011-08-08,44.312564849853516,0.0,0.0,0.0,0.0,45.36256484985351,0.0,0.0,0.0,0.0,1.05
109,2011-08-09,45.00762939453125,0.0,0.0,0.0,0.0,46.05762939453125,0.0,0.0,0.0,0.0,1.05
110,2011-08-10,43.729591369628906,0.0,0.0,0.0,0.0,44.7795913696289,0.0,0.0,0.0,0.0,1.05
111,2011-08-11,45.17952346801758,0.0,0.0,0.0,0.0,46.229523468017575,0.0,0.0,0.0,0.0,1.05
112,2011-08-12,45.695220947265625,0.0,0.0,0.0,0.0,46.74522094726562,0.0,0.0,0.0,0.0,1.05
113,2011-08-15,46.248287200927734,0.0,0.0,0.0,0.0,47.29828720092773,0.0,0.0,0.0,0.0,1.05
114,2011-08-16,46.0539665222168,0.0,0.0,0.0,0.0,47.103966522216794,0.0,0.0,0.0,0.0,1.05
115,2011-08-17,46.09134292602539,0.0,0.0,0.0,0.0,47.14134292602539,0.0,0.0,0.0,0.0,1.05
116,2011-08-18,45.48595428466797,0.0,0.0,0.0,0.0,46.535954284667966,0.0,0.0,0.0,0.0,1.05
117,2011-08-19,45.560699462890625,0.0,0.0,0.0,0.0,46.61069946289062,0.0,0.0,0.0,0.0,1.05
118,2011-08-22,46.12123107910156,0.0,0.0,0.0,0.0,47.17123107910156,0.0,0.0,0.0,0.0,1.05
119,2011-08-23,47.10032653808594,0.0,0.0,0.0,0.0,48.150326538085935,0.0,0.0,0.0,0.0,1.05
120,2011-08-24,47.31706619262695,0.0,0.0,0.0,0.0,48.36706619262695,0.0,0.0,0.0,0.0,1.05
121,2011-08-25,46.73408889770508,0.0,0.0,0.0,0.0,47.784088897705075,0.0,0.0,0.0,0.0,1.05
