count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,36.85774612426758,0.0,0.0,0.0,0.0,36.85774612426758,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,37.409423828125,0.0,0.0,0.0,0.0,37.409423828125,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,37.080936431884766,0.0,0.0,0.0,0.0,37.080936431884766,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,36.40713119506836,0.0,0.0,0.0,0.0,36.40713119506836,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,36.84931945800781,0.0,0.0,0.0,0.0,36.84931945800781,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,36.99250030517578,0.0,0.0,0.0,0.0,36.99250030517578,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,36.55453109741211,0.0,0.0,0.0,0.0,36.55453109741211,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,36.01546859741211,0.0,0.0,0.0,0.0,36.01546859741211,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,36.706138610839844,0.0,0.0,0.0,0.0,36.706138610839844,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,36.832481384277344,0.0,0.0,0.0,0.0,36.832481384277344,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,37.29570388793945,0.0,0.0,0.0,0.0,37.29570388793945,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,37.09779357910156,0.0,0.0,0.0,0.0,37.09779357910156,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,37.177791595458984,0.0,0.0,0.0,0.0,37.177791595458984,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,37.34626007080078,0.0,0.0,0.0,0.0,37.34626007080078,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,37.666316986083984,0.0,0.0,0.0,0.0,37.666316986083984,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,37.641056060791016,0.0,0.0,0.0,0.0,37.641056060791016,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,38.150630950927734,0.0,0.0,0.0,0.0,38.150630950927734,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,40.399478912353516,0.0,0.0,0.0,0.0,40.399478912353516,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,40.09626770019531,0.0,0.0,0.0,0.0,40.09626770019531,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,40.049949645996094,0.0,0.0,0.0,0.0,40.049949645996094,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,40.63533401489258,0.0,0.0,0.0,0.0,40.63533401489258,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,40.57634735107422,0.0,0.0,0.0,0.0,40.57634735107422,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,40.60163879394531,0.0,0.0,0.0,0.0,40.60163879394531,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,40.45845413208008,0.0,0.0,0.0,0.0,40.45845413208008,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,40.15101623535156,0.0,0.0,0.0,0.0,40.15101623535156,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,39.982574462890625,0.0,0.0,0.0,0.0,39.982574462890625,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,39.48563003540039,0.0,0.0,0.0,0.0,39.48563003540039,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,38.85813522338867,0.0,0.0,0.0,0.0,38.85813522338867,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,38.95078659057617,0.0,0.0,0.0,0.0,38.95078659057617,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,39.01818084716797,0.0,0.0,0.0,0.0,39.01818084716797,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,38.48753356933594,0.0,0.0,0.0,0.0,38.48753356933594,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,39.224517822265625,0.0,0.0,0.0,0.0,39.224517822265625,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,39.814117431640625,0.0,0.0,0.0,0.0,39.814117431640625,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,39.856224060058594,0.0,0.0,0.0,0.0,39.856224060058594,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,39.346656799316406,0.0,0.0,0.0,0.0,39.346656799316406,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,39.57406234741211,0.0,0.0,0.0,0.0,39.57406234741211,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,39.418235778808594,0.0,0.0,0.0,0.0,39.418235778808594,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,39.645660400390625,0.0,0.0,0.0,0.0,39.645660400390625,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,39.86885070800781,0.0,0.0,0.0,0.0,39.86885070800781,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,39.64143371582031,0.0,0.0,0.0,0.0,39.64143371582031,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,38.786537170410156,0.0,0.0,0.0,0.0,38.786537170410156,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,38.06639862060547,0.0,0.0,0.0,0.0,38.06639862060547,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,38.00324249267578,0.0,0.0,0.0,0.0,38.00324249267578,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,38.30837631225586,0.0,0.0,0.0,0.0,38.30837631225586,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,38.685577392578125,0.0,0.0,0.0,0.0,38.97057739257812,0.0,0.0,0.0,0.0,0.285
