count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,2.0839312076568604,0.0,0.0,0.0,0.0,2.0839312076568604,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,2.065429210662842,0.0,0.0,0.0,0.0,2.065429210662842,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,2.0839312076568604,0.0,0.0,0.0,0.0,2.0839312076568604,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,2.070297956466675,0.0,0.0,0.0,0.0,2.070297956466675,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,2.0342671871185303,0.0,0.0,0.0,0.0,2.0342671871185303,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,2.025503396987915,0.0,0.0,0.0,0.0,2.025503396987915,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,1.9281229972839355,0.0,0.0,0.0,0.0,1.9281229972839355,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,1.8989094495773315,0.0,0.0,0.0,0.0,1.8989094495773315,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,1.9232546091079712,0.0,0.0,0.0,0.0,1.9232546091079712,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,2.142359495162964,0.0,0.0,0.0,0.0,2.142359495162964,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,2.180337429046631,0.0,0.0,0.0,0.0,2.180337429046631,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,2.1219096183776855,0.0,0.0,0.0,0.0,2.1219096183776855,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,2.1579396724700928,0.0,0.0,0.0,0.0,2.1579396724700928,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,2.1926140785217285,0.0,0.0,0.0,0.0,2.1926140785217285,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,2.182415723800659,0.0,0.0,0.0,0.0,2.307415723800659,0.0,0.0,0.0,0.0,0.125
