count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,43.597476959228516,0.0,0.0,0.0,0.0,43.597476959228516,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,43.27190017700195,0.0,0.0,0.0,0.0,43.27190017700195,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,41.64398193359375,0.0,0.0,0.0,0.0,41.64398193359375,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,40.91710662841797,0.0,0.0,0.0,0.0,40.91710662841797,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,40.591529846191406,0.0,0.0,0.0,0.0,40.591529846191406,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,40.49309158325195,0.0,0.0,0.0,0.0,40.49309158325195,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,40.12966537475586,0.0,0.0,0.0,0.0,40.12966537475586,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,38.23675537109375,0.0,0.0,0.0,0.0,38.23675537109375,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,39.614784240722656,0.0,0.0,0.0,0.0,39.614784240722656,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,39.15291213989258,0.0,0.0,0.0,0.0,39.15291213989258,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,40.60667419433594,0.0,0.0,0.0,0.0,40.60667419433594,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,39.74350357055664,0.0,0.0,0.0,0.0,39.74350357055664,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,39.71321487426758,0.0,0.0,0.0,0.0,39.71321487426758,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,40.6748161315918,0.0,0.0,0.0,0.0,40.6748161315918,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,39.940372467041016,0.0,0.0,0.0,0.0,39.940372467041016,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,39.508785247802734,0.0,0.0,0.0,0.0,39.508785247802734,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,40.81867599487305,0.0,0.0,0.0,0.0,40.81867599487305,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,41.272979736328125,0.0,0.0,0.0,0.0,41.272979736328125,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,41.5152702331543,0.0,0.0,0.0,0.0,41.5152702331543,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,41.242698669433594,0.0,0.0,0.0,0.0,41.242698669433594,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,40.21294403076172,0.0,0.0,0.0,0.0,40.21294403076172,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,39.81165313720703,0.0,0.0,0.0,0.0,39.81165313720703,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,40.53852844238281,0.0,0.0,0.0,0.0,40.53852844238281,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,40.30381774902344,0.0,0.0,0.0,0.0,40.30381774902344,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,40.60667419433594,0.0,0.0,0.0,0.0,40.60667419433594,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,40.43253707885742,0.0,0.0,0.0,0.0,40.43253707885742,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,39.56178665161133,0.0,0.0,0.0,0.0,39.56178665161133,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,39.88737106323242,0.0,0.0,0.0,0.0,39.88737106323242,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,39.8267936706543,0.0,0.0,0.0,0.0,39.8267936706543,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,40.235652923583984,0.0,0.0,0.0,0.0,40.235652923583984,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,40.34923553466797,0.0,0.0,0.0,0.0,40.34923553466797,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,40.447669982910156,0.0,0.0,0.0,0.0,40.447669982910156,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,41.84841537475586,0.0,0.0,0.0,0.0,41.84841537475586,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,43.112884521484375,0.0,0.0,0.0,0.0,43.112884521484375,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,43.02201843261719,0.0,0.0,0.0,0.0,43.02201843261719,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,43.32490158081055,0.0,0.0,0.0,0.0,43.32490158081055,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,44.05176544189453,0.0,0.0,0.0,0.0,44.05176544189453,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,43.597476959228516,0.0,0.0,0.0,0.0,43.597476959228516,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,43.22644805908203,0.0,0.0,0.0,0.0,43.22644805908203,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,43.34002685546875,0.0,0.0,0.0,0.0,43.34002685546875,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,42.77215576171875,0.0,0.0,0.0,0.0,42.77215576171875,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,42.461727142333984,0.0,0.0,0.0,0.0,42.461727142333984,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,42.499576568603516,0.0,0.0,0.0,0.0,42.499576568603516,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,42.83272933959961,0.0,0.0,0.0,0.0,42.83272933959961,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,42.90087127685547,0.0,0.0,0.0,0.0,42.90087127685547,0.0,0.0,0.0,0.0,0.0
46,2011-05-10,43.090179443359375,0.0,0.0,0.0,0.0,43.090179443359375,0.0,0.0,0.0,0.0,0.0
47,2011-05-11,42.84788513183594,0.0,0.0,0.0,0.0,42.84788513183594,0.0,0.0,0.0,0.0,0.0
48,2011-05-12,43.415748596191406,0.0,0.0,0.0,0.0,43.415748596191406,0.0,0.0,0.0,0.0,0.0
49,2011-05-13,43.249183654785156,0.0,0.0,0.0,0.0,43.249183654785156,0.0,0.0,0.0,0.0,0.0
50,2011-05-16,42.93115997314453,0.0,0.0,0.0,0.0,42.93115997314453,0.0,0.0,0.0,0.0,0.0
51,2011-05-17,42.66615295410156,0.0,0.0,0.0,0.0,42.66615295410156,0.0,0.0,0.0,0.0,0.0
52,2011-05-18,42.741878509521484,0.0,0.0,0.0,0.0,42.741878509521484,0.0,0.0,0.0,0.0,0.0
53,2011-05-19,43.385467529296875,0.0,0.0,0.0,0.0,43.385467529296875,0.0,0.0,0.0,0.0,0.0
54,2011-05-20,43.446041107177734,0.0,0.0,0.0,0.0,43.446041107177734,0.0,0.0,0.0,0.0,0.0
55,2011-05-23,42.688880920410156,0.0,0.0,0.0,0.0,42.688880920410156,0.0,0.0,0.0,0.0,0.0
56,2011-05-24,42.635868072509766,0.0,0.0,0.0,0.0,42.635868072509766,0.0,0.0,0.0,0.0,0.0
57,2011-05-25,43.316139221191406,0.0,0.0,0.0,0.0,43.316139221191406,0.0,0.0,0.0,0.0,0.0
58,2011-05-26,43.452945709228516,0.0,0.0,0.0,0.0,43.66794570922852,0.0,0.0,0.0,0.0,0.215
59,2011-05-27,43.58974838256836,0.0,0.0,0.0,0.0,43.80474838256836,0.0,0.0,0.0,0.0,0.215
60,2011-05-31,44.53223419189453,0.0,0.0,0.0,0.0,44.747234191894535,0.0,0.0,0.0,0.0,0.215
61,2011-06-01,43.437747955322266,0.0,0.0,0.0,0.0,43.65274795532227,0.0,0.0,0.0,0.0,0.215
62,2011-06-02,43.93178939819336,0.0,0.0,0.0,0.0,44.14678939819336,0.0,0.0,0.0,0.0,0.215
63,2011-06-03,43.3541259765625,0.0,0.0,0.0,0.0,43.5691259765625,0.0,0.0,0.0,0.0,0.215
64,2011-06-06,42.92850112915039,0.0,0.0,0.0,0.0,43.143501129150394,0.0,0.0,0.0,0.0,0.215
65,2011-06-07,42.951297760009766,0.0,0.0,0.0,0.0,43.16629776000977,0.0,0.0,0.0,0.0,0.215
66,2011-06-08,42.791683197021484,0.0,0.0,0.0,0.0,43.00668319702149,0.0,0.0,0.0,0.0,0.215
67,2011-06-09,42.4648551940918,0.0,0.0,0.0,0.0,42.6798551940918,0.0,0.0,0.0,0.0,0.215
68,2011-06-10,41.49958038330078,0.0,0.0,0.0,0.0,41.714580383300785,0.0,0.0,0.0,0.0,0.215
69,2011-06-13,41.347557067871094,0.0,0.0,0.0,0.0,41.5625570678711,0.0,0.0,0.0,0.0,0.215
70,2011-06-14,42.24444580078125,0.0,0.0,0.0,0.0,42.45944580078125,0.0,0.0,0.0,0.0,0.215
71,2011-06-15,41.119537353515625,0.0,0.0,0.0,0.0,41.33453735351563,0.0,0.0,0.0,0.0,0.215
72,2011-06-16,40.27586364746094,0.0,0.0,0.0,0.0,40.49086364746094,0.0,0.0,0.0,0.0,0.215
73,2011-06-17,40.0478401184082,0.0,0.0,0.0,0.0,40.26284011840821,0.0,0.0,0.0,0.0,0.215
74,2011-06-20,40.64829635620117,0.0,0.0,0.0,0.0,40.863296356201175,0.0,0.0,0.0,0.0,0.215
75,2011-06-21,41.370357513427734,0.0,0.0,0.0,0.0,41.58535751342774,0.0,0.0,0.0,0.0,0.215
76,2011-06-22,41.03593063354492,0.0,0.0,0.0,0.0,41.250930633544925,0.0,0.0,0.0,0.0,0.215
77,2011-06-23,41.77320098876953,0.0,0.0,0.0,0.0,41.988200988769535,0.0,0.0,0.0,0.0,0.215
78,2011-06-24,41.187950134277344,0.0,0.0,0.0,0.0,41.40295013427735,0.0,0.0,0.0,0.0,0.215
79,2011-06-27,41.61357498168945,0.0,0.0,0.0,0.0,41.82857498168946,0.0,0.0,0.0,0.0,0.215
80,2011-06-28,42.145626068115234,0.0,0.0,0.0,0.0,42.36062606811524,0.0,0.0,0.0,0.0,0.215
81,2011-06-29,42.13043212890625,0.0,0.0,0.0,0.0,42.34543212890625,0.0,0.0,0.0,0.0,0.215
82,2011-06-30,43.164127349853516,0.0,0.0,0.0,0.0,43.37912734985352,0.0,0.0,0.0,0.0,0.215
83,2011-07-01,43.99259567260742,0.0,0.0,0.0,0.0,44.207595672607425,0.0,0.0,0.0,0.0,0.215
84,2011-07-05,44.1901969909668,0.0,0.0,0.0,0.0,44.4051969909668,0.0,0.0,0.0,0.0,0.215
85,2011-07-06,44.6158332824707,0.0,0.0,0.0,0.0,44.83083328247071,0.0,0.0,0.0,0.0,0.215
86,2011-07-07,45.041481018066406,0.0,0.0,0.0,0.0,45.25648101806641,0.0,0.0,0.0,0.0,0.215
87,2011-07-08,45.11747741699219,0.0,0.0,0.0,0.0,45.33247741699219,0.0,0.0,0.0,0.0,0.215
88,2011-07-11,44.266212463378906,0.0,0.0,0.0,0.0,44.48121246337891,0.0,0.0,0.0,0.0,0.215
89,2011-07-12,42.958900451660156,0.0,0.0,0.0,0.0,43.17390045166016,0.0,0.0,0.0,0.0,0.215
90,2011-07-13,42.6320686340332,0.0,0.0,0.0,0.0,42.84706863403321,0.0,0.0,0.0,0.0,0.215
91,2011-07-14,41.7427864074707,0.0,0.0,0.0,0.0,41.95778640747071,0.0,0.0,0.0,0.0,0.215
