ticker,sigma,sigmaTR
clx,-2.6876857009941606,-2.742176806156859
mkc,-2.4990586144487144,-2.534360894589736
rop,-2.39688391375816,-2.396310628209408
eqix,-2.2249743579949532,-2.1237575951611887
chd,-2.1128553618775254,-2.1237025546469144
pep,-2.086913100451392,-2.1177016294431024
kmb,-1.8934602983775817,-1.874207878667071
grf.mc,-1.9157909781830589,-1.8567285871052217
ato,-1.848574941331397,-1.789967550304301
apd,-1.5884039878010008,-1.6470311255563235
pg,-1.5493831303103862,-1.6214604722813495
bf-b,-1.5264476103000044,-1.5681708900932623
wmt,-1.4667630138426984,-1.538021815429184
ed,-1.585802917804152,-1.483254484433359
spgi,-1.3860517195832276,-1.4411765186481171
wst,-1.3790991436027975,-1.4015808693064018
eng.mc,-1.6309281303023402,-1.3978031567660998
cl,-1.3781559974699475,-1.3665088229044244
gld,-1.2766357417274086,-1.2766357417274086
baba,-1.2219304842348024,-1.2219304842348024
bdx,-1.1663751468413952,-1.2022472041393624
amzn,-1.194286840029013,-1.194286840029013
shw,-1.1901466361814388,-1.1805842391381498
mmc,-1.0811521479567365,-1.1307293553127729
ecl,-1.0963222232536967,-1.1198913132944548
mco,-1.0654843176360416,-1.0776930203150827
hrl,-1.055293390507566,-1.046021169379472
low,-0.981087152551282,-0.9978846131155394
ctas,-0.967271411004958,-0.9344413064844805
fb,-0.9038548799243991,-0.9038548799243991
v,-0.7704910241568161,-0.7744107114251313
mcd,-0.7003981306771732,-0.714980295666319
unh,-0.6389419504277464,-0.6786665648642941
azo,-0.6212209359560216,-0.6212209359560216
o,-0.4478007477617975,-0.5039503690751113
cacc,-0.4421770395341146,-0.4421770395341146
lin,-0.3460082834346159,-0.4265623287724346
atbyf,-0.40633122621069495,-0.40633122621069495
spot,-0.38750678251486337,-0.38750678251486337
jnj,-0.32047869532219464,-0.367227113536854
aapl,-0.3234775829962139,-0.34309878996298115
tqqq,-0.3167990959225039,-0.3175626843523959
ko,-0.16071908950512054,-0.29983110591172224
itw,-0.2105047539371666,-0.27430460187364947
t,-0.11129518580597525,-0.2709620499326964
ren.mc,-0.21780734881380673,-0.22475706519666921
cah,-0.12752208616261412,-0.15680334782542166
ntdoy,-0.07715325091480725,-0.07715325091480725
qcom,-0.06430973008947041,-0.0760710020512196
fae.mc,-0.10330015298628169,-0.029277688171507093
gww,0.03387090781603331,0.014652550537360545
vid.mc,0.06042056246769513,0.0642535445689016
vfc,0.16630188935244122,0.0923372873085935
amcr,0.14543085608188916,0.10563541776724356
ibm,0.08667345344433021,0.13810710954410882
ppg,0.2967878936753015,0.25008475747843517
abbv,0.3344695653157641,0.26407723852866327
tgt,0.2918894357973688,0.2662360374264035
leg,0.48463805985491387,0.31857397747729604
abt,0.3961512768737187,0.3424798818523676
mo,0.7207496989822595,0.3536993019496348
mdt,0.45668362643594657,0.35771043812028225
mmm,0.5248394594568451,0.4328941068068762
expd,0.5097827444004351,0.4681785784514282
adp,0.6345767486623631,0.5152035386469079
swk,0.6216258124685059,0.5321292486151582
itx.mc,0.6692084550823327,0.5508608547821898
nhi,0.9050937480891958,0.5594445695506207
dov,0.6074982029654985,0.5623307861394288
ams.mc,0.7297177546539632,0.5722538714747544
gd,0.7136741237092348,0.5960899293640284
aos,0.6650654996754993,0.609863370431278
alums.pa,0.6965411673826555,0.6527966330292577
sfm,0.7487516779423147,0.7487516779423147
alvdm.pa,0.8962818842838515,0.7601039394222596
sii.pa,0.8575514339545283,0.8273564641936326
bam,0.8946504938205883,0.8403047707692854
wba,1.0367068159951307,0.8676630525735322
sbux,0.9196854159636528,0.8711097884192353
gpc,1.173047814681115,0.9375401122173049
bkng,0.9406924589209863,0.9406924589209863
cbav.mc,1.1981295308987294,0.9757566114615507
y,1.0189548197904805,0.9836969289264693
ess,1.1727812566170026,0.9878195251359757
ben,1.3125068185446571,1.013081108567854
pnr,1.1927374827477184,1.0850253443074351
alb,1.1579519285905084,1.137237369548148
trow,1.2374113068631658,1.1416568640963907
cie.mc,1.3108858594270756,1.167817029364522
mty.to,1.3175347215596789,1.2387051748428033
adm,1.5188927190737092,1.3640461045827252
gco.mc,1.7321235762527731,1.4822847699664334
brk-b,1.5136870294143119,1.5136870294143119
btc-usd,1.5821958631773572,1.5821958631773572
cinf,1.93102898517247,1.6304465453196701
bbva.mc,2.587456987964193,1.6850957140194176
syy,1.8313284475648186,1.70218836387254
pvl.pa,1.9840168836993541,1.7105278450694243
afl,1.8928520076415731,1.7431935397891083
nue,2.06341979041132,1.8062581486017864
frt,2.280745633034774,1.876069910288516
rep.mc,3.0860881480253903,1.90772326131188
goog,1.9240144065887939,1.9240144065887939
cb,2.1551402111327533,1.9518671915365007
emr,2.1873706763103873,2.028282981280589
cvx,2.509603931338237,2.1263197985002438
cat,2.2913981043623255,2.2043637616989273
al,2.36026560446026,2.290761394130266
xom,4.4166176198484255,3.679828338018753
pbct,4.8024127065515065,4.0413130940209285
