count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,80.0168228149414,0.0,0.0,0.0,0.0,80.0168228149414,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,80.9501724243164,0.0,0.0,0.0,0.0,80.9501724243164,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,81.393310546875,0.0,0.0,0.0,0.0,81.393310546875,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,79.53598022460938,0.0,0.0,0.0,0.0,79.53598022460938,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,79.63966369628906,0.0,0.0,0.0,0.0,79.63966369628906,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,78.83830261230469,0.0,0.0,0.0,0.0,78.83830261230469,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,78.21601867675781,0.0,0.0,0.0,0.0,78.21601867675781,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,77.19779968261719,0.0,0.0,0.0,0.0,77.19779968261719,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,77.78233337402344,0.0,0.0,0.0,0.0,77.78233337402344,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,79.3379898071289,0.0,0.0,0.0,0.0,79.3379898071289,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,80.89361572265625,0.0,0.0,0.0,0.0,80.89361572265625,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,80.45050811767578,0.0,0.0,0.0,0.0,80.45050811767578,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,79.89424133300781,0.0,0.0,0.0,0.0,79.89424133300781,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,80.20537567138672,0.0,0.0,0.0,0.0,80.20537567138672,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,80.9501724243164,0.0,0.0,0.0,0.0,80.9501724243164,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,80.29965209960938,0.0,0.0,0.0,0.0,80.29965209960938,0.0,0.0,0.0,0.0,0.0
