count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2013-08-01,40.11000061035156,0.0,0.0,0.0,0.0,40.11000061035156,0.0,0.0,0.0,0.0,0.0
2,2013-08-02,39.97999954223633,0.0,0.0,0.0,0.0,39.97999954223633,0.0,0.0,0.0,0.0,0.0
3,2013-08-05,41.130001068115234,0.0,0.0,0.0,0.0,41.130001068115234,0.0,0.0,0.0,0.0,0.0
4,2013-08-06,39.77000045776367,0.0,0.0,0.0,0.0,39.77000045776367,0.0,0.0,0.0,0.0,0.0
5,2013-08-07,39.29999923706055,0.0,0.0,0.0,0.0,39.29999923706055,0.0,0.0,0.0,0.0,0.0
6,2013-08-08,39.11000061035156,0.0,0.0,0.0,0.0,39.11000061035156,0.0,0.0,0.0,0.0,0.0
7,2013-08-09,38.84000015258789,0.0,0.0,0.0,0.0,38.84000015258789,0.0,0.0,0.0,0.0,0.0
8,2013-08-12,37.599998474121094,0.0,0.0,0.0,0.0,37.599998474121094,0.0,0.0,0.0,0.0,0.0
9,2013-08-13,37.88999938964844,0.0,0.0,0.0,0.0,37.88999938964844,0.0,0.0,0.0,0.0,0.0
10,2013-08-14,38.900001525878906,0.0,0.0,0.0,0.0,38.900001525878906,0.0,0.0,0.0,0.0,0.0
11,2013-08-15,39.16999816894531,0.0,0.0,0.0,0.0,39.16999816894531,0.0,0.0,0.0,0.0,0.0
12,2013-08-16,39.34000015258789,0.0,0.0,0.0,0.0,39.34000015258789,0.0,0.0,0.0,0.0,0.0
13,2013-08-19,38.36000061035156,0.0,0.0,0.0,0.0,38.36000061035156,0.0,0.0,0.0,0.0,0.0
14,2013-08-20,38.290000915527344,0.0,0.0,0.0,0.0,38.290000915527344,0.0,0.0,0.0,0.0,0.0
15,2013-08-21,37.220001220703125,0.0,0.0,0.0,0.0,37.220001220703125,0.0,0.0,0.0,0.0,0.0
16,2013-08-22,38.59000015258789,0.0,0.0,0.0,0.0,38.59000015258789,0.0,0.0,0.0,0.0,0.0
17,2013-08-23,39.060001373291016,0.0,0.0,0.0,0.0,39.060001373291016,0.0,0.0,0.0,0.0,0.0
18,2013-08-26,38.9900016784668,0.0,0.0,0.0,0.0,38.9900016784668,0.0,0.0,0.0,0.0,0.0
19,2013-08-27,37.880001068115234,0.0,0.0,0.0,0.0,37.880001068115234,0.0,0.0,0.0,0.0,0.0
20,2013-08-28,37.470001220703125,0.0,0.0,0.0,0.0,37.470001220703125,0.0,0.0,0.0,0.0,0.0
21,2013-08-29,37.380001068115234,0.0,0.0,0.0,0.0,37.380001068115234,0.0,0.0,0.0,0.0,0.0
22,2013-08-30,36.959999084472656,0.0,0.0,0.0,0.0,36.959999084472656,0.0,0.0,0.0,0.0,0.0
23,2013-09-03,36.75,0.0,0.0,0.0,0.0,36.75,0.0,0.0,0.0,0.0,0.0
24,2013-09-04,36.79999923706055,0.0,0.0,0.0,0.0,36.79999923706055,0.0,0.0,0.0,0.0,0.0
25,2013-09-05,36.869998931884766,0.0,0.0,0.0,0.0,36.869998931884766,0.0,0.0,0.0,0.0,0.0
26,2013-09-06,38.84000015258789,0.0,0.0,0.0,0.0,38.84000015258789,0.0,0.0,0.0,0.0,0.0
27,2013-09-09,39.029998779296875,0.0,0.0,0.0,0.0,39.029998779296875,0.0,0.0,0.0,0.0,0.0
28,2013-09-10,38.220001220703125,0.0,0.0,0.0,0.0,38.220001220703125,0.0,0.0,0.0,0.0,0.0
29,2013-09-11,38.209999084472656,0.0,0.0,0.0,0.0,38.209999084472656,0.0,0.0,0.0,0.0,0.0
30,2013-09-12,38.619998931884766,0.0,0.0,0.0,0.0,38.619998931884766,0.0,0.0,0.0,0.0,0.0
31,2013-09-13,38.88999938964844,0.0,0.0,0.0,0.0,38.88999938964844,0.0,0.0,0.0,0.0,0.0
