count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,71.77131652832031,0.0,0.0,0.0,0.0,71.77131652832031,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,73.0183334350586,0.0,0.0,0.0,0.0,73.0183334350586,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,73.43101501464844,0.0,0.0,0.0,0.0,73.43101501464844,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,73.27850341796875,0.0,0.0,0.0,0.0,73.27850341796875,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,74.2474365234375,0.0,0.0,0.0,0.0,74.2474365234375,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,73.45793151855469,0.0,0.0,0.0,0.0,73.45793151855469,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,73.82577514648438,0.0,0.0,0.0,0.0,73.82577514648438,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,72.36341857910156,0.0,0.0,0.0,0.0,72.36341857910156,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,72.44415283203125,0.0,0.0,0.0,0.0,72.44415283203125,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,72.5339126586914,0.0,0.0,0.0,0.0,72.5339126586914,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,73.73606872558594,0.0,0.0,0.0,0.0,73.73606872558594,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,74.00518798828125,0.0,0.0,0.0,0.0,74.00518798828125,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,74.46271514892578,0.0,0.0,0.0,0.0,74.46271514892578,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,75.09073638916016,0.0,0.0,0.0,0.0,75.09073638916016,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,75.22530364990234,0.0,0.0,0.0,0.0,75.22530364990234,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,75.06381225585938,0.0,0.0,0.0,0.0,75.06381225585938,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,75.24323272705078,0.0,0.0,0.0,0.0,75.24323272705078,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,75.53031921386719,0.0,0.0,0.0,0.0,75.53031921386719,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,75.35092163085938,0.0,0.0,0.0,0.0,75.35092163085938,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,76.60689544677734,0.0,0.0,0.0,0.0,76.60689544677734,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,76.74144744873047,0.0,0.0,0.0,0.0,76.74144744873047,0.0,0.0,0.0,0.0,0.0
