count,date,close,ma200,deviation,average,sigma
1,2011-03-01,31.152708053588867,0.0,0.0,0.0,0.0
2,2011-03-02,31.525148391723633,0.0,0.0,0.0,0.0
3,2011-03-03,32.24519729614258,0.0,0.0,0.0,0.0
4,2011-03-04,31.558265686035156,0.0,0.0,0.0,0.0
5,2011-03-07,31.06995391845703,0.0,0.0,0.0,0.0
6,2011-03-08,31.351354598999023,0.0,0.0,0.0,0.0
7,2011-03-09,31.558265686035156,0.0,0.0,0.0,0.0
8,2011-03-10,31.094764709472656,0.0,0.0,0.0,0.0
9,2011-03-11,31.06995391845703,0.0,0.0,0.0,0.0
10,2011-03-14,30.680950164794922,0.0,0.0,0.0,0.0
11,2011-03-15,30.639562606811523,0.0,0.0,0.0,0.0
12,2011-03-16,30.209192276000977,0.0,0.0,0.0,0.0
13,2011-03-17,30.821643829345703,0.0,0.0,0.0,0.0
14,2011-03-18,31.409271240234375,0.0,0.0,0.0,0.0
15,2011-03-21,32.195556640625,0.0,0.0,0.0,0.0
16,2011-03-22,31.905860900878906,0.0,0.0,0.0,0.0
17,2011-03-23,31.980363845825195,0.0,0.0,0.0,0.0
18,2011-03-24,31.905860900878906,0.0,0.0,0.0,0.0
19,2011-03-25,31.889318466186523,0.0,0.0,0.0,0.0
20,2011-03-28,31.922420501708984,0.0,0.0,0.0,0.0
21,2011-03-29,33.14733123779297,0.0,0.0,0.0,0.0
22,2011-03-30,33.19700622558594,0.0,0.0,0.0,0.0
23,2011-03-31,32.60938262939453,0.0,0.0,0.0,0.0
24,2011-04-01,32.43556594848633,0.0,0.0,0.0,0.0
25,2011-04-04,32.39418411254883,0.0,0.0,0.0,0.0
26,2011-04-05,32.42729568481445,0.0,0.0,0.0,0.0
27,2011-04-06,32.758358001708984,0.0,0.0,0.0,0.0
28,2011-04-07,32.642478942871094,0.0,0.0,0.0,0.0
29,2011-04-08,32.25349044799805,0.0,0.0,0.0,0.0
30,2011-04-11,32.361083984375,0.0,0.0,0.0,0.0
31,2011-04-12,32.2700309753418,0.0,0.0,0.0,0.0
32,2011-04-13,32.41073226928711,0.0,0.0,0.0,0.0
33,2011-04-14,31.97208023071289,0.0,0.0,0.0,0.0
34,2011-04-15,32.53489303588867,0.0,0.0,0.0,0.0
35,2011-04-18,32.17073059082031,0.0,0.0,0.0,0.0
36,2011-04-19,32.37761688232422,0.0,0.0,0.0,0.0
37,2011-04-20,32.567989349365234,0.0,0.0,0.0,0.0
38,2011-04-21,32.94042205810547,0.0,0.0,0.0,0.0
39,2011-04-25,32.766632080078125,0.0,0.0,0.0,0.0
40,2011-04-26,32.402462005615234,0.0,0.0,0.0,0.0
41,2011-04-27,32.35279846191406,0.0,0.0,0.0,0.0
42,2011-04-28,33.2797737121582,0.0,0.0,0.0,0.0
43,2011-04-29,33.49496078491211,0.0,0.0,0.0,0.0
44,2011-05-02,33.42047119140625,0.0,0.0,0.0,0.0
45,2011-05-03,33.4370231628418,0.0,0.0,0.0,0.0
46,2011-05-04,33.73497009277344,0.0,0.0,0.0,0.0
47,2011-05-05,33.759803771972656,0.0,0.0,0.0,0.0
48,2011-05-06,34.00809860229492,0.0,0.0,0.0,0.0
49,2011-05-09,34.430206298828125,0.0,0.0,0.0,0.0
50,2011-05-10,34.75297927856445,0.0,0.0,0.0,0.0
51,2011-05-11,34.42191696166992,0.0,0.0,0.0,0.0
52,2011-05-12,34.918514251708984,0.0,0.0,0.0,0.0
53,2011-05-13,34.82746887207031,0.0,0.0,0.0,0.0
54,2011-05-16,34.976436614990234,0.0,0.0,0.0,0.0
55,2011-05-17,35.16681671142578,0.0,0.0,0.0,0.0
56,2011-05-18,35.7709846496582,0.0,0.0,0.0,0.0
57,2011-05-19,35.80409240722656,0.0,0.0,0.0,0.0
58,2011-05-20,35.42338562011719,0.0,0.0,0.0,0.0
59,2011-05-23,35.04265213012695,0.0,0.0,0.0,0.0
60,2011-05-24,35.042659759521484,0.0,0.0,0.0,0.0
61,2011-05-25,35.175865173339844,0.0,0.0,0.0,0.0
62,2011-05-26,35.05097961425781,0.0,0.0,0.0,0.0
63,2011-05-27,35.134246826171875,0.0,0.0,0.0,0.0
64,2011-05-31,35.35903549194336,0.0,0.0,0.0,0.0
65,2011-06-01,34.276695251464844,0.0,0.0,0.0,0.0
66,2011-06-02,34.40158462524414,0.0,0.0,0.0,0.0
67,2011-06-03,34.285030364990234,0.0,0.0,0.0,0.0
68,2011-06-06,34.168460845947266,0.0,0.0,0.0,0.0
69,2011-06-07,34.59307861328125,0.0,0.0,0.0,0.0
70,2011-06-08,34.01026916503906,0.0,0.0,0.0,0.0
71,2011-06-09,34.4515380859375,0.0,0.0,0.0,0.0
72,2011-06-10,34.00194549560547,0.0,0.0,0.0,0.0
73,2011-06-13,33.92702102661133,0.0,0.0,0.0,0.0
74,2011-06-14,34.792884826660156,0.0,0.0,0.0,0.0
75,2011-06-15,34.218414306640625,0.0,0.0,0.0,0.0
76,2011-06-16,34.2017707824707,0.0,0.0,0.0,0.0
77,2011-06-17,32.97789764404297,0.0,0.0,0.0,0.0
78,2011-06-20,33.44413757324219,0.0,0.0,0.0,0.0
79,2011-06-21,33.85209274291992,0.0,0.0,0.0,0.0
80,2011-06-22,33.552364349365234,0.0,0.0,0.0,0.0
81,2011-06-23,33.36086654663086,0.0,0.0,0.0,0.0
82,2011-06-24,32.89464569091797,0.0,0.0,0.0,0.0
83,2011-06-27,33.40251541137695,0.0,0.0,0.0,0.0
84,2011-06-28,33.768836975097656,0.0,0.0,0.0,0.0
85,2011-06-29,34.38492965698242,0.0,0.0,0.0,0.0
86,2011-06-30,34.89279556274414,0.0,0.0,0.0,0.0
87,2011-07-01,35.30074691772461,0.0,0.0,0.0,0.0
88,2011-07-05,35.2258186340332,0.0,0.0,0.0,0.0
89,2011-07-06,35.567176818847656,0.0,0.0,0.0,0.0
90,2011-07-07,35.83361053466797,0.0,0.0,0.0,0.0
91,2011-07-08,35.28409957885742,0.0,0.0,0.0,0.0
92,2011-07-11,34.80121994018555,0.0,0.0,0.0,0.0
93,2011-07-12,34.759586334228516,0.0,0.0,0.0,0.0
94,2011-07-13,35.42564010620117,0.0,0.0,0.0,0.0
95,2011-07-14,35.1841926574707,0.0,0.0,0.0,0.0
96,2011-07-15,35.250797271728516,0.0,0.0,0.0,0.0
97,2011-07-18,35.09259796142578,0.0,0.0,0.0,0.0
98,2011-07-19,35.883544921875,0.0,0.0,0.0,0.0
99,2011-07-20,35.83361053466797,0.0,0.0,0.0,0.0
100,2011-07-21,36.840999603271484,0.0,0.0,0.0,0.0
101,2011-07-22,36.56624221801758,0.0,0.0,0.0,0.0
102,2011-07-25,36.54960632324219,0.0,0.0,0.0,0.0
103,2011-07-26,36.59955596923828,0.0,0.0,0.0,0.0
104,2011-07-27,35.85857391357422,0.0,0.0,0.0,0.0
105,2011-07-28,35.50889205932617,0.0,0.0,0.0,0.0
106,2011-07-29,34.63470458984375,0.0,0.0,0.0,0.0
107,2011-08-01,34.476524353027344,0.0,0.0,0.0,0.0
108,2011-08-02,36.990867614746094,0.0,0.0,0.0,0.0
109,2011-08-03,37.17402648925781,0.0,0.0,0.0,0.0
