count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2018-04-03,149.00999450683594,0.0,0.0,0.0,0.0,149.00999450683594,0.0,0.0,0.0,0.0,0.0
2,2018-04-04,144.22000122070312,0.0,0.0,0.0,0.0,144.22000122070312,0.0,0.0,0.0,0.0,0.0
3,2018-04-05,143.99000549316406,0.0,0.0,0.0,0.0,143.99000549316406,0.0,0.0,0.0,0.0,0.0
4,2018-04-06,147.9199981689453,0.0,0.0,0.0,0.0,147.9199981689453,0.0,0.0,0.0,0.0,0.0
5,2018-04-09,150.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0
6,2018-04-10,154.89999389648438,0.0,0.0,0.0,0.0,154.89999389648438,0.0,0.0,0.0,0.0,0.0
7,2018-04-11,149.57000732421875,0.0,0.0,0.0,0.0,149.57000732421875,0.0,0.0,0.0,0.0,0.0
8,2018-04-12,149.10000610351562,0.0,0.0,0.0,0.0,149.10000610351562,0.0,0.0,0.0,0.0,0.0
9,2018-04-13,149.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0
10,2018-04-16,144.32000732421875,0.0,0.0,0.0,0.0,144.32000732421875,0.0,0.0,0.0,0.0,0.0
11,2018-04-17,148.49000549316406,0.0,0.0,0.0,0.0,148.49000549316406,0.0,0.0,0.0,0.0,0.0
12,2018-04-18,154.91000366210938,0.0,0.0,0.0,0.0,154.91000366210938,0.0,0.0,0.0,0.0,0.0
13,2018-04-19,153.47000122070312,0.0,0.0,0.0,0.0,153.47000122070312,0.0,0.0,0.0,0.0,0.0
14,2018-04-20,158.4499969482422,0.0,0.0,0.0,0.0,158.4499969482422,0.0,0.0,0.0,0.0,0.0
15,2018-04-23,158.0399932861328,0.0,0.0,0.0,0.0,158.0399932861328,0.0,0.0,0.0,0.0,0.0
16,2018-04-24,155.07000732421875,0.0,0.0,0.0,0.0,155.07000732421875,0.0,0.0,0.0,0.0,0.0
17,2018-04-25,153.3300018310547,0.0,0.0,0.0,0.0,153.3300018310547,0.0,0.0,0.0,0.0,0.0
18,2018-04-26,156.60000610351562,0.0,0.0,0.0,0.0,156.60000610351562,0.0,0.0,0.0,0.0,0.0
19,2018-04-27,159.97999572753906,0.0,0.0,0.0,0.0,159.97999572753906,0.0,0.0,0.0,0.0,0.0
20,2018-04-30,161.6699981689453,0.0,0.0,0.0,0.0,161.6699981689453,0.0,0.0,0.0,0.0,0.0
21,2018-05-01,164.8800048828125,0.0,0.0,0.0,0.0,164.8800048828125,0.0,0.0,0.0,0.0,0.0
22,2018-05-02,170.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0
23,2018-05-03,160.3800048828125,0.0,0.0,0.0,0.0,160.3800048828125,0.0,0.0,0.0,0.0,0.0
24,2018-05-04,154.25999450683594,0.0,0.0,0.0,0.0,154.25999450683594,0.0,0.0,0.0,0.0,0.0
