count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,60.92045211791992,0.0,0.0,0.0,0.0,60.92045211791992,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,62.77390670776367,0.0,0.0,0.0,0.0,62.77390670776367,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,62.497528076171875,0.0,0.0,0.0,0.0,62.497528076171875,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,61.26187515258789,0.0,0.0,0.0,0.0,61.26187515258789,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,61.416343688964844,0.0,0.0,0.0,0.0,61.416343688964844,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,60.969234466552734,0.0,0.0,0.0,0.0,60.969234466552734,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,60.343257904052734,0.0,0.0,0.0,0.0,60.343257904052734,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,59.10762405395508,0.0,0.0,0.0,0.0,59.10762405395508,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,59.717315673828125,0.0,0.0,0.0,0.0,59.717315673828125,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,60.53837585449219,0.0,0.0,0.0,0.0,60.53837585449219,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,61.416343688964844,0.0,0.0,0.0,0.0,61.416343688964844,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,60.81475830078125,0.0,0.0,0.0,0.0,60.81475830078125,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,61.2700080871582,0.0,0.0,0.0,0.0,61.2700080871582,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,61.70085144042969,0.0,0.0,0.0,0.0,61.70085144042969,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,62.456878662109375,0.0,0.0,0.0,0.0,62.456878662109375,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,61.668331146240234,0.0,0.0,0.0,0.0,61.668331146240234,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,62.40808868408203,0.0,0.0,0.0,0.0,62.40808868408203,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,62.432491302490234,0.0,0.0,0.0,0.0,62.432491302490234,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,62.26988983154297,0.0,0.0,0.0,0.0,62.26988983154297,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,62.334938049316406,0.0,0.0,0.0,0.0,62.334938049316406,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,61.49763107299805,0.0,0.0,0.0,0.0,61.49763107299805,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,61.30251693725586,0.0,0.0,0.0,0.0,61.30251693725586,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,61.34316635131836,0.0,0.0,0.0,0.0,61.34316635131836,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,61.448848724365234,0.0,0.0,0.0,0.0,61.448848724365234,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,60.73347473144531,0.0,0.0,0.0,0.0,60.73347473144531,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,60.83915710449219,0.0,0.0,0.0,0.0,60.83915710449219,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,60.12378692626953,0.0,0.0,0.0,0.0,60.12378692626953,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,60.87982177734375,0.0,0.0,0.0,0.0,60.87982177734375,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,61.6845817565918,0.0,0.0,0.0,0.0,61.6845817565918,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,62.62757110595703,0.0,0.0,0.0,0.0,62.62757110595703,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,61.48137283325195,0.0,0.0,0.0,0.0,61.48137283325195,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,61.78213882446289,0.0,0.0,0.0,0.0,61.78213882446289,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,62.26988983154297,0.0,0.0,0.0,0.0,62.26988983154297,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,62.42436599731445,0.0,0.0,0.0,0.0,62.42436599731445,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,62.26988983154297,0.0,0.0,0.0,0.0,62.26988983154297,0.0,0.0,0.0,0.0,0.0
