count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,20.547239303588867,0.0,0.0,0.0,0.0,20.547239303588867,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,20.577030181884766,0.0,0.0,0.0,0.0,20.577030181884766,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,20.807903289794922,0.0,0.0,0.0,0.0,20.807903289794922,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,20.681291580200195,0.0,0.0,0.0,0.0,20.681291580200195,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,20.72597885131836,0.0,0.0,0.0,0.0,20.72597885131836,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,20.658946990966797,0.0,0.0,0.0,0.0,20.658946990966797,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,20.74831771850586,0.0,0.0,0.0,0.0,20.74831771850586,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,20.442981719970703,0.0,0.0,0.0,0.0,20.442981719970703,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,20.51000213623047,0.0,0.0,0.0,0.0,20.51000213623047,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,20.629161834716797,0.0,0.0,0.0,0.0,20.629161834716797,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,20.874927520751953,0.0,0.0,0.0,0.0,20.874927520751953,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,20.91216278076172,0.0,0.0,0.0,0.0,20.91216278076172,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,20.852582931518555,0.0,0.0,0.0,0.0,20.852582931518555,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,20.778112411499023,0.0,0.0,0.0,0.0,20.778112411499023,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,20.74831771850586,0.0,0.0,0.0,0.0,20.74831771850586,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,20.770654678344727,0.0,0.0,0.0,0.0,20.770654678344727,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,20.82279396057129,0.0,0.0,0.0,0.0,20.82279396057129,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,20.830307006835938,0.0,0.0,0.0,0.0,20.830307006835938,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,20.82279396057129,0.0,0.0,0.0,0.0,21.08279396057129,0.0,0.0,0.0,0.0,0.26
20,2011-04-01,20.958105087280273,0.0,0.0,0.0,0.0,21.218105087280275,0.0,0.0,0.0,0.0,0.26
21,2011-04-04,21.010726928710938,0.0,0.0,0.0,0.0,21.27072692871094,0.0,0.0,0.0,0.0,0.26
22,2011-04-05,21.43169403076172,0.0,0.0,0.0,0.0,21.69169403076172,0.0,0.0,0.0,0.0,0.26
23,2011-04-06,21.57451629638672,0.0,0.0,0.0,0.0,21.83451629638672,0.0,0.0,0.0,0.0,0.26
24,2011-04-07,21.499343872070312,0.0,0.0,0.0,0.0,21.759343872070314,0.0,0.0,0.0,0.0,0.26
25,2011-04-08,21.10093116760254,0.0,0.0,0.0,0.0,21.36093116760254,0.0,0.0,0.0,0.0,0.26
26,2011-04-11,21.341482162475586,0.0,0.0,0.0,0.0,21.601482162475588,0.0,0.0,0.0,0.0,0.26
27,2011-04-12,21.386585235595703,0.0,0.0,0.0,0.0,21.646585235595705,0.0,0.0,0.0,0.0,0.26
28,2011-04-13,21.191133499145508,0.0,0.0,0.0,0.0,21.45113349914551,0.0,0.0,0.0,0.0,0.26
29,2011-04-14,21.40913200378418,0.0,0.0,0.0,0.0,21.66913200378418,0.0,0.0,0.0,0.0,0.26
30,2011-04-15,21.551963806152344,0.0,0.0,0.0,0.0,21.811963806152345,0.0,0.0,0.0,0.0,0.26
31,2011-04-18,21.35651397705078,0.0,0.0,0.0,0.0,21.616513977050783,0.0,0.0,0.0,0.0,0.26
32,2011-04-19,21.499343872070312,0.0,0.0,0.0,0.0,21.759343872070314,0.0,0.0,0.0,0.0,0.26
33,2011-04-20,21.709827423095703,0.0,0.0,0.0,0.0,21.969827423095705,0.0,0.0,0.0,0.0,0.26
34,2011-04-21,21.800033569335938,0.0,0.0,0.0,0.0,22.06003356933594,0.0,0.0,0.0,0.0,0.26
35,2011-04-25,21.777481079101562,0.0,0.0,0.0,0.0,22.037481079101564,0.0,0.0,0.0,0.0,0.26
36,2011-04-26,21.995479583740234,0.0,0.0,0.0,0.0,22.255479583740236,0.0,0.0,0.0,0.0,0.26
37,2011-04-27,22.13079071044922,0.0,0.0,0.0,0.0,22.39079071044922,0.0,0.0,0.0,0.0,0.26
38,2011-04-28,21.995479583740234,0.0,0.0,0.0,0.0,22.255479583740236,0.0,0.0,0.0,0.0,0.26
39,2011-04-29,21.732376098632812,0.0,0.0,0.0,0.0,21.992376098632814,0.0,0.0,0.0,0.0,0.26
40,2011-05-02,22.00299835205078,0.0,0.0,0.0,0.0,22.262998352050783,0.0,0.0,0.0,0.0,0.26
41,2011-05-03,21.91278648376465,0.0,0.0,0.0,0.0,22.17278648376465,0.0,0.0,0.0,0.0,0.26
42,2011-05-04,21.875211715698242,0.0,0.0,0.0,0.0,22.135211715698244,0.0,0.0,0.0,0.0,0.26
43,2011-05-05,21.536928176879883,0.0,0.0,0.0,0.0,21.796928176879884,0.0,0.0,0.0,0.0,0.26
44,2011-05-06,21.43169403076172,0.0,0.0,0.0,0.0,21.69169403076172,0.0,0.0,0.0,0.0,0.26
45,2011-05-09,23.731966018676758,0.0,0.0,0.0,0.0,23.99196601867676,0.0,0.0,0.0,0.0,0.26
46,2011-05-10,23.446317672729492,0.0,0.0,0.0,0.0,23.706317672729494,0.0,0.0,0.0,0.0,0.26
47,2011-05-11,23.416240692138672,0.0,0.0,0.0,0.0,23.676240692138673,0.0,0.0,0.0,0.0,0.26
48,2011-05-12,24.122861862182617,0.0,0.0,0.0,0.0,24.38286186218262,0.0,0.0,0.0,0.0,0.26
49,2011-05-13,23.88983154296875,0.0,0.0,0.0,0.0,24.14983154296875,0.0,0.0,0.0,0.0,0.26
50,2011-05-16,24.152935028076172,0.0,0.0,0.0,0.0,24.412935028076173,0.0,0.0,0.0,0.0,0.26
51,2011-05-17,24.33334732055664,0.0,0.0,0.0,0.0,24.593347320556642,0.0,0.0,0.0,0.0,0.26
52,2011-05-18,24.54383087158203,0.0,0.0,0.0,0.0,24.803830871582033,0.0,0.0,0.0,0.0,0.26
53,2011-05-19,24.385967254638672,0.0,0.0,0.0,0.0,24.645967254638673,0.0,0.0,0.0,0.0,0.26
54,2011-05-20,24.370935440063477,0.0,0.0,0.0,0.0,24.630935440063478,0.0,0.0,0.0,0.0,0.26
55,2011-05-23,24.29576301574707,0.0,0.0,0.0,0.0,24.555763015747072,0.0,0.0,0.0,0.0,0.26
56,2011-05-24,23.957483291625977,0.0,0.0,0.0,0.0,24.217483291625978,0.0,0.0,0.0,0.0,0.26
57,2011-05-25,24.002593994140625,0.0,0.0,0.0,0.0,24.262593994140627,0.0,0.0,0.0,0.0,0.26
58,2011-05-26,24.010103225708008,0.0,0.0,0.0,0.0,24.27010322570801,0.0,0.0,0.0,0.0,0.26
59,2011-05-27,24.04769515991211,0.0,0.0,0.0,0.0,24.30769515991211,0.0,0.0,0.0,0.0,0.26
60,2011-05-31,24.213069915771484,0.0,0.0,0.0,0.0,24.473069915771486,0.0,0.0,0.0,0.0,0.26
61,2011-06-01,23.867279052734375,0.0,0.0,0.0,0.0,24.127279052734377,0.0,0.0,0.0,0.0,0.26
62,2011-06-02,23.47637939453125,0.0,0.0,0.0,0.0,23.73637939453125,0.0,0.0,0.0,0.0,0.26
63,2011-06-03,23.401206970214844,0.0,0.0,0.0,0.0,23.661206970214845,0.0,0.0,0.0,0.0,0.26
64,2011-06-06,23.20575714111328,0.0,0.0,0.0,0.0,23.465757141113283,0.0,0.0,0.0,0.0,0.26
65,2011-06-07,23.130586624145508,0.0,0.0,0.0,0.0,23.39058662414551,0.0,0.0,0.0,0.0,0.26
66,2011-06-08,22.965208053588867,0.0,0.0,0.0,0.0,23.22520805358887,0.0,0.0,0.0,0.0,0.26
67,2011-06-09,23.220794677734375,0.0,0.0,0.0,0.0,23.480794677734377,0.0,0.0,0.0,0.0,0.26
68,2011-06-10,22.85244369506836,0.0,0.0,0.0,0.0,23.11244369506836,0.0,0.0,0.0,0.0,0.26
69,2011-06-13,22.935136795043945,0.0,0.0,0.0,0.0,23.195136795043947,0.0,0.0,0.0,0.0,0.26
70,2011-06-14,23.183208465576172,0.0,0.0,0.0,0.0,23.443208465576173,0.0,0.0,0.0,0.0,0.26
71,2011-06-15,22.890033721923828,0.0,0.0,0.0,0.0,23.15003372192383,0.0,0.0,0.0,0.0,0.26
72,2011-06-16,23.1606502532959,0.0,0.0,0.0,0.0,23.4206502532959,0.0,0.0,0.0,0.0,0.26
73,2011-06-17,23.228313446044922,0.0,0.0,0.0,0.0,23.488313446044923,0.0,0.0,0.0,0.0,0.26
74,2011-06-20,23.393695831298828,0.0,0.0,0.0,0.0,23.65369583129883,0.0,0.0,0.0,0.0,0.26
75,2011-06-21,23.521484375,0.0,0.0,0.0,0.0,23.781484375,0.0,0.0,0.0,0.0,0.26
76,2011-06-22,23.491418838500977,0.0,0.0,0.0,0.0,23.751418838500978,0.0,0.0,0.0,0.0,0.26
77,2011-06-23,23.363622665405273,0.0,0.0,0.0,0.0,23.623622665405275,0.0,0.0,0.0,0.0,0.26
78,2011-06-24,23.123065948486328,0.0,0.0,0.0,0.0,23.38306594848633,0.0,0.0,0.0,0.0,0.26
79,2011-06-27,23.175689697265625,0.0,0.0,0.0,0.0,23.435689697265627,0.0,0.0,0.0,0.0,0.26
80,2011-06-28,23.280933380126953,0.0,0.0,0.0,0.0,23.540933380126955,0.0,0.0,0.0,0.0,0.26
