count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,16.017662048339844,0.0,0.0,0.0,0.0,16.017662048339844,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,16.333419799804688,0.0,0.0,0.0,0.0,16.333419799804688,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,16.52861976623535,0.0,0.0,0.0,0.0,16.52861976623535,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,16.425277709960938,0.0,0.0,0.0,0.0,16.425277709960938,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,16.33916473388672,0.0,0.0,0.0,0.0,16.33916473388672,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,16.184154510498047,0.0,0.0,0.0,0.0,16.184154510498047,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,15.965991020202637,0.0,0.0,0.0,0.0,15.965991020202637,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,15.690418243408203,0.0,0.0,0.0,0.0,15.690418243408203,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,15.92580509185791,0.0,0.0,0.0,0.0,15.92580509185791,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,16.04062843322754,0.0,0.0,0.0,0.0,16.04062843322754,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,16.224340438842773,0.0,0.0,0.0,0.0,16.224340438842773,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,16.132482528686523,0.0,0.0,0.0,0.0,16.132482528686523,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,16.15544319152832,0.0,0.0,0.0,0.0,16.15544319152832,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,16.38509178161621,0.0,0.0,0.0,0.0,16.38509178161621,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,16.563066482543945,0.0,0.0,0.0,0.0,16.563066482543945,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,16.855857849121094,0.0,0.0,0.0,0.0,16.855857849121094,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,17.251995086669922,0.0,0.0,0.0,0.0,17.251995086669922,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,17.630910873413086,0.0,0.0,0.0,0.0,17.630910873413086,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,17.573501586914062,0.0,0.0,0.0,0.0,17.573501586914062,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,17.579242706298828,0.0,0.0,0.0,0.0,17.579242706298828,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,17.665355682373047,0.0,0.0,0.0,0.0,17.665355682373047,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,17.625165939331055,0.0,0.0,0.0,0.0,17.625165939331055,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,17.741615295410156,0.0,0.0,0.0,0.0,17.741615295410156,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,17.782384872436523,0.0,0.0,0.0,0.0,18.212384872436523,0.0,0.0,0.0,0.0,0.43
25,2011-04-08,17.881366729736328,0.0,0.0,0.0,0.0,18.311366729736328,0.0,0.0,0.0,0.0,0.43
26,2011-04-11,17.852251052856445,0.0,0.0,0.0,0.0,18.282251052856445,0.0,0.0,0.0,0.0,0.43
27,2011-04-12,17.741615295410156,0.0,0.0,0.0,0.0,18.171615295410156,0.0,0.0,0.0,0.0,0.43
28,2011-04-13,17.57276725769043,0.0,0.0,0.0,0.0,18.00276725769043,0.0,0.0,0.0,0.0,0.43
29,2011-04-14,17.63681411743164,0.0,0.0,0.0,0.0,18.06681411743164,0.0,0.0,0.0,0.0,0.43
30,2011-04-15,17.84642791748047,0.0,0.0,0.0,0.0,18.27642791748047,0.0,0.0,0.0,0.0,0.43
31,2011-04-18,17.648456573486328,0.0,0.0,0.0,0.0,18.078456573486328,0.0,0.0,0.0,0.0,0.43
32,2011-04-19,17.648456573486328,0.0,0.0,0.0,0.0,18.078456573486328,0.0,0.0,0.0,0.0,0.43
33,2011-04-20,17.54364776611328,0.0,0.0,0.0,0.0,17.97364776611328,0.0,0.0,0.0,0.0,0.43
34,2011-04-21,17.8638973236084,0.0,0.0,0.0,0.0,18.293897323608398,0.0,0.0,0.0,0.0,0.43
35,2011-04-25,17.7882022857666,0.0,0.0,0.0,0.0,18.2182022857666,0.0,0.0,0.0,0.0,0.43
36,2011-04-26,18.01528549194336,0.0,0.0,0.0,0.0,18.44528549194336,0.0,0.0,0.0,0.0,0.43
37,2011-04-27,18.294775009155273,0.0,0.0,0.0,0.0,18.724775009155273,0.0,0.0,0.0,0.0,0.43
38,2011-04-28,18.26565933227539,0.0,0.0,0.0,0.0,18.69565933227539,0.0,0.0,0.0,0.0,0.43
39,2011-04-29,18.120094299316406,0.0,0.0,0.0,0.0,18.550094299316406,0.0,0.0,0.0,0.0,0.43
40,2011-05-02,18.172500610351562,0.0,0.0,0.0,0.0,18.602500610351562,0.0,0.0,0.0,0.0,0.43
41,2011-05-03,18.550973892211914,0.0,0.0,0.0,0.0,18.980973892211914,0.0,0.0,0.0,0.0,0.43
42,2011-05-04,18.510211944580078,0.0,0.0,0.0,0.0,18.940211944580078,0.0,0.0,0.0,0.0,0.43
43,2011-05-05,18.178319931030273,0.0,0.0,0.0,0.0,18.608319931030273,0.0,0.0,0.0,0.0,0.43
44,2011-05-06,18.201608657836914,0.0,0.0,0.0,0.0,18.631608657836914,0.0,0.0,0.0,0.0,0.43
45,2011-05-09,18.254011154174805,0.0,0.0,0.0,0.0,18.684011154174804,0.0,0.0,0.0,0.0,0.43
46,2011-05-10,18.451984405517578,0.0,0.0,0.0,0.0,18.881984405517578,0.0,0.0,0.0,0.0,0.43
47,2011-05-11,18.271486282348633,0.0,0.0,0.0,0.0,18.701486282348633,0.0,0.0,0.0,0.0,0.43
48,2011-05-12,18.422870635986328,0.0,0.0,0.0,0.0,18.852870635986328,0.0,0.0,0.0,0.0,0.43
49,2011-05-13,18.28894805908203,0.0,0.0,0.0,0.0,18.71894805908203,0.0,0.0,0.0,0.0,0.43
50,2011-05-16,18.08515739440918,0.0,0.0,0.0,0.0,18.51515739440918,0.0,0.0,0.0,0.0,0.43
51,2011-05-17,18.120094299316406,0.0,0.0,0.0,0.0,18.550094299316406,0.0,0.0,0.0,0.0,0.43
52,2011-05-18,18.166677474975586,0.0,0.0,0.0,0.0,18.596677474975586,0.0,0.0,0.0,0.0,0.43
53,2011-05-19,18.283132553100586,0.0,0.0,0.0,0.0,18.713132553100586,0.0,0.0,0.0,0.0,0.43
54,2011-05-20,18.236547470092773,0.0,0.0,0.0,0.0,18.666547470092773,0.0,0.0,0.0,0.0,0.43
55,2011-05-23,18.096799850463867,0.0,0.0,0.0,0.0,18.526799850463867,0.0,0.0,0.0,0.0,0.43
56,2011-05-24,18.143388748168945,0.0,0.0,0.0,0.0,18.573388748168945,0.0,0.0,0.0,0.0,0.43
57,2011-05-25,18.050222396850586,0.0,0.0,0.0,0.0,18.480222396850586,0.0,0.0,0.0,0.0,0.43
58,2011-05-26,18.11427116394043,0.0,0.0,0.0,0.0,18.54427116394043,0.0,0.0,0.0,0.0,0.43
59,2011-05-27,18.21907615661621,0.0,0.0,0.0,0.0,18.64907615661621,0.0,0.0,0.0,0.0,0.43
60,2011-05-31,18.376291275024414,0.0,0.0,0.0,0.0,18.806291275024414,0.0,0.0,0.0,0.0,0.43
61,2011-06-01,18.14920425415039,0.0,0.0,0.0,0.0,18.57920425415039,0.0,0.0,0.0,0.0,0.43
62,2011-06-02,18.032751083374023,0.0,0.0,0.0,0.0,18.462751083374023,0.0,0.0,0.0,0.0,0.43
63,2011-06-03,17.84642791748047,0.0,0.0,0.0,0.0,18.27642791748047,0.0,0.0,0.0,0.0,0.43
64,2011-06-06,17.677570343017578,0.0,0.0,0.0,0.0,18.107570343017578,0.0,0.0,0.0,0.0,0.43
65,2011-06-07,17.648456573486328,0.0,0.0,0.0,0.0,18.078456573486328,0.0,0.0,0.0,0.0,0.43
66,2011-06-08,17.665929794311523,0.0,0.0,0.0,0.0,18.095929794311523,0.0,0.0,0.0,0.0,0.43
67,2011-06-09,17.66010093688965,0.0,0.0,0.0,0.0,18.090100936889648,0.0,0.0,0.0,0.0,0.43
68,2011-06-10,17.665929794311523,0.0,0.0,0.0,0.0,18.095929794311523,0.0,0.0,0.0,0.0,0.43
69,2011-06-13,17.7882022857666,0.0,0.0,0.0,0.0,18.2182022857666,0.0,0.0,0.0,0.0,0.43
70,2011-06-14,17.927947998046875,0.0,0.0,0.0,0.0,18.357947998046875,0.0,0.0,0.0,0.0,0.43
71,2011-06-15,17.671751022338867,0.0,0.0,0.0,0.0,18.101751022338867,0.0,0.0,0.0,0.0,0.43
72,2011-06-16,17.71833038330078,0.0,0.0,0.0,0.0,18.14833038330078,0.0,0.0,0.0,0.0,0.43
73,2011-06-17,17.916301727294922,0.0,0.0,0.0,0.0,18.34630172729492,0.0,0.0,0.0,0.0,0.43
74,2011-06-20,18.026926040649414,0.0,0.0,0.0,0.0,18.456926040649414,0.0,0.0,0.0,0.0,0.43
75,2011-06-21,18.11427116394043,0.0,0.0,0.0,0.0,18.54427116394043,0.0,0.0,0.0,0.0,0.43
76,2011-06-22,17.9803466796875,0.0,0.0,0.0,0.0,18.4103466796875,0.0,0.0,0.0,0.0,0.43
77,2011-06-23,17.887184143066406,0.0,0.0,0.0,0.0,18.317184143066406,0.0,0.0,0.0,0.0,0.43
78,2011-06-24,17.724151611328125,0.0,0.0,0.0,0.0,18.154151611328125,0.0,0.0,0.0,0.0,0.43
79,2011-06-27,17.910470962524414,0.0,0.0,0.0,0.0,18.340470962524414,0.0,0.0,0.0,0.0,0.43
80,2011-06-28,18.061870574951172,0.0,0.0,0.0,0.0,18.49187057495117,0.0,0.0,0.0,0.0,0.43
81,2011-06-29,18.201608657836914,0.0,0.0,0.0,0.0,18.631608657836914,0.0,0.0,0.0,0.0,0.43
82,2011-06-30,18.28894805908203,0.0,0.0,0.0,0.0,18.71894805908203,0.0,0.0,0.0,0.0,0.43
83,2011-07-01,18.446163177490234,0.0,0.0,0.0,0.0,18.876163177490234,0.0,0.0,0.0,0.0,0.43
84,2011-07-05,18.41704750061035,0.0,0.0,0.0,0.0,18.84704750061035,0.0,0.0,0.0,0.0,0.43
85,2011-07-06,18.434755325317383,0.0,0.0,0.0,0.0,18.864755325317383,0.0,0.0,0.0,0.0,0.43
86,2011-07-07,18.434755325317383,0.0,0.0,0.0,0.0,19.294755325317382,0.0,0.0,0.0,0.0,0.86
87,2011-07-08,18.381633758544922,0.0,0.0,0.0,0.0,19.24163375854492,0.0,0.0,0.0,0.0,0.86
88,2011-07-11,18.180931091308594,0.0,0.0,0.0,0.0,19.040931091308593,0.0,0.0,0.0,0.0,0.86
89,2011-07-12,18.163225173950195,0.0,0.0,0.0,0.0,19.023225173950195,0.0,0.0,0.0,0.0,0.86
90,2011-07-13,18.192737579345703,0.0,0.0,0.0,0.0,19.052737579345703,0.0,0.0,0.0,0.0,0.86
91,2011-07-14,18.051069259643555,0.0,0.0,0.0,0.0,18.911069259643554,0.0,0.0,0.0,0.0,0.86
92,2011-07-15,17.891687393188477,0.0,0.0,0.0,0.0,18.751687393188476,0.0,0.0,0.0,0.0,0.86
93,2011-07-18,17.779537200927734,0.0,0.0,0.0,0.0,18.639537200927734,0.0,0.0,0.0,0.0,0.86
