count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,38.595706939697266,0.0,0.0,0.0,0.0,38.595706939697266,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,38.75370407104492,0.0,0.0,0.0,0.0,38.75370407104492,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,38.851505279541016,0.0,0.0,0.0,0.0,38.851505279541016,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,38.49037551879883,0.0,0.0,0.0,0.0,38.49037551879883,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,38.76875305175781,0.0,0.0,0.0,0.0,38.76875305175781,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,38.42266845703125,0.0,0.0,0.0,0.0,38.42266845703125,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,38.25716018676758,0.0,0.0,0.0,0.0,38.25716018676758,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,38.11420440673828,0.0,0.0,0.0,0.0,38.11420440673828,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,37.903541564941406,0.0,0.0,0.0,0.0,37.903541564941406,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,37.610130310058594,0.0,0.0,0.0,0.0,37.610130310058594,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,38.15182876586914,0.0,0.0,0.0,0.0,38.15182876586914,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,37.99382781982422,0.0,0.0,0.0,0.0,37.99382781982422,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,37.798213958740234,0.0,0.0,0.0,0.0,37.798213958740234,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,38.07658004760742,0.0,0.0,0.0,0.0,38.07658004760742,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,37.58002471923828,0.0,0.0,0.0,0.0,37.58002471923828,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,37.279090881347656,0.0,0.0,0.0,0.0,37.279090881347656,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,36.98568344116211,0.0,0.0,0.0,0.0,36.98568344116211,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,37.813262939453125,0.0,0.0,0.0,0.0,37.813262939453125,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,37.62516784667969,0.0,0.0,0.0,0.0,37.62516784667969,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,37.88850402832031,0.0,0.0,0.0,0.0,37.88850402832031,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,37.66279220581055,0.0,0.0,0.0,0.0,37.66279220581055,0.0,0.0,0.0,0.0,0.0
