count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,1.7526919841766357,0.0,0.0,0.0,0.0,1.7526919841766357,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,1.7709801197052002,0.0,0.0,0.0,0.0,1.7709801197052002,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,1.735235571861267,0.0,0.0,0.0,0.0,1.735235571861267,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,1.6558514833450317,0.0,0.0,0.0,0.0,1.6558514833450317,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,1.68349027633667,0.0,0.0,0.0,0.0,1.68349027633667,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,1.667073369026184,0.0,0.0,0.0,0.0,1.667073369026184,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,1.598911166191101,0.0,0.0,0.0,0.0,1.598911166191101,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,1.4814963340759277,0.0,0.0,0.0,0.0,1.4814963340759277,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,1.5201495885849,0.0,0.0,0.0,0.0,1.5201495885849,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,1.511837363243103,0.0,0.0,0.0,0.0,1.511837363243103,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,1.5962088108062744,0.0,0.0,0.0,0.0,1.5962088108062744,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,1.5918447971343994,0.0,0.0,0.0,0.0,1.5918447971343994,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,1.6159515380859375,0.0,0.0,0.0,0.0,1.6159515380859375,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,1.7038562297821045,0.0,0.0,0.0,0.0,1.7038562297821045,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,1.716325044631958,0.0,0.0,0.0,0.0,1.716325044631958,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,1.6872309446334839,0.0,0.0,0.0,0.0,1.6872309446334839,0.0,0.0,0.0,0.0,0.0
