count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,49.12387466430664,0.0,0.0,0.0,0.0,49.12387466430664,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,50.34565353393555,0.0,0.0,0.0,0.0,50.34565353393555,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,49.682613372802734,0.0,0.0,0.0,0.0,49.682613372802734,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,47.96171188354492,0.0,0.0,0.0,0.0,47.96171188354492,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,48.448307037353516,0.0,0.0,0.0,0.0,48.448307037353516,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,47.6772575378418,0.0,0.0,0.0,0.0,47.9872575378418,0.0,0.0,0.0,0.0,0.31
7,2011-03-15,46.3822135925293,0.0,0.0,0.0,0.0,46.6922135925293,0.0,0.0,0.0,0.0,0.31
8,2011-03-16,45.53630447387695,0.0,0.0,0.0,0.0,45.846304473876955,0.0,0.0,0.0,0.0,0.31
9,2011-03-17,46.40467071533203,0.0,0.0,0.0,0.0,46.71467071533203,0.0,0.0,0.0,0.0,0.31
10,2011-03-18,46.5918083190918,0.0,0.0,0.0,0.0,46.9018083190918,0.0,0.0,0.0,0.0,0.31
11,2011-03-21,47.66977310180664,0.0,0.0,0.0,0.0,47.97977310180664,0.0,0.0,0.0,0.0,0.31
12,2011-03-22,47.18319320678711,0.0,0.0,0.0,0.0,47.49319320678711,0.0,0.0,0.0,0.0,0.31
13,2011-03-23,47.72966384887695,0.0,0.0,0.0,0.0,48.039663848876955,0.0,0.0,0.0,0.0,0.31
14,2011-03-24,48.28360366821289,0.0,0.0,0.0,0.0,48.59360366821289,0.0,0.0,0.0,0.0,0.31
15,2011-03-25,48.71030807495117,0.0,0.0,0.0,0.0,49.020308074951174,0.0,0.0,0.0,0.0,0.31
16,2011-03-28,48.2312126159668,0.0,0.0,0.0,0.0,48.5412126159668,0.0,0.0,0.0,0.0,0.31
17,2011-03-29,48.78515625,0.0,0.0,0.0,0.0,49.09515625,0.0,0.0,0.0,0.0,0.31
18,2011-03-30,49.54872131347656,0.0,0.0,0.0,0.0,49.858721313476565,0.0,0.0,0.0,0.0,0.31
19,2011-03-31,49.72089385986328,0.0,0.0,0.0,0.0,50.03089385986328,0.0,0.0,0.0,0.0,0.31
20,2011-04-01,50.8213005065918,0.0,0.0,0.0,0.0,51.1313005065918,0.0,0.0,0.0,0.0,0.31
21,2011-04-04,50.38712692260742,0.0,0.0,0.0,0.0,50.697126922607424,0.0,0.0,0.0,0.0,0.31
22,2011-04-05,50.41707992553711,0.0,0.0,0.0,0.0,50.72707992553711,0.0,0.0,0.0,0.0,0.31
23,2011-04-06,50.84375,0.0,0.0,0.0,0.0,51.15375,0.0,0.0,0.0,0.0,0.31
24,2011-04-07,50.84375,0.0,0.0,0.0,0.0,51.15375,0.0,0.0,0.0,0.0,0.31
25,2011-04-08,50.79136657714844,0.0,0.0,0.0,0.0,51.10136657714844,0.0,0.0,0.0,0.0,0.31
26,2011-04-11,50.37965774536133,0.0,0.0,0.0,0.0,50.68965774536133,0.0,0.0,0.0,0.0,0.31
27,2011-04-12,49.795738220214844,0.0,0.0,0.0,0.0,50.105738220214846,0.0,0.0,0.0,0.0,0.31
28,2011-04-13,50.21495819091797,0.0,0.0,0.0,0.0,50.52495819091797,0.0,0.0,0.0,0.0,0.31
29,2011-04-14,49.825687408447266,0.0,0.0,0.0,0.0,50.13568740844727,0.0,0.0,0.0,0.0,0.31
30,2011-04-15,50.16254806518555,0.0,0.0,0.0,0.0,50.47254806518555,0.0,0.0,0.0,0.0,0.31
31,2011-04-18,49.15945053100586,0.0,0.0,0.0,0.0,49.46945053100586,0.0,0.0,0.0,0.0,0.31
32,2011-04-19,49.436431884765625,0.0,0.0,0.0,0.0,49.74643188476563,0.0,0.0,0.0,0.0,0.31
33,2011-04-20,49.68345642089844,0.0,0.0,0.0,0.0,49.99345642089844,0.0,0.0,0.0,0.0,0.31
34,2011-04-21,47.96920394897461,0.0,0.0,0.0,0.0,48.27920394897461,0.0,0.0,0.0,0.0,0.31
35,2011-04-25,47.392791748046875,0.0,0.0,0.0,0.0,47.70279174804688,0.0,0.0,0.0,0.0,0.31
36,2011-04-26,47.68476104736328,0.0,0.0,0.0,0.0,47.99476104736328,0.0,0.0,0.0,0.0,0.31
37,2011-04-27,48.61298751831055,0.0,0.0,0.0,0.0,48.92298751831055,0.0,0.0,0.0,0.0,0.31
38,2011-04-28,48.373435974121094,0.0,0.0,0.0,0.0,48.683435974121096,0.0,0.0,0.0,0.0,0.31
39,2011-04-29,48.09645462036133,0.0,0.0,0.0,0.0,48.40645462036133,0.0,0.0,0.0,0.0,0.31
40,2011-05-02,47.849422454833984,0.0,0.0,0.0,0.0,48.15942245483399,0.0,0.0,0.0,0.0,0.31
41,2011-05-03,47.153263092041016,0.0,0.0,0.0,0.0,47.46326309204102,0.0,0.0,0.0,0.0,0.31
42,2011-05-04,46.99605178833008,0.0,0.0,0.0,0.0,47.30605178833008,0.0,0.0,0.0,0.0,0.31
43,2011-05-05,46.76398849487305,0.0,0.0,0.0,0.0,47.07398849487305,0.0,0.0,0.0,0.0,0.31
44,2011-05-06,46.80141067504883,0.0,0.0,0.0,0.0,47.11141067504883,0.0,0.0,0.0,0.0,0.31
45,2011-05-09,46.88376998901367,0.0,0.0,0.0,0.0,47.193769989013674,0.0,0.0,0.0,0.0,0.31
46,2011-05-10,47.370330810546875,0.0,0.0,0.0,0.0,47.68033081054688,0.0,0.0,0.0,0.0,0.31
47,2011-05-11,46.53941345214844,0.0,0.0,0.0,0.0,46.84941345214844,0.0,0.0,0.0,0.0,0.31
48,2011-05-12,46.99605178833008,0.0,0.0,0.0,0.0,47.30605178833008,0.0,0.0,0.0,0.0,0.31
49,2011-05-13,46.41215133666992,0.0,0.0,0.0,0.0,46.722151336669924,0.0,0.0,0.0,0.0,0.31
50,2011-05-16,46.31483459472656,0.0,0.0,0.0,0.0,46.624834594726565,0.0,0.0,0.0,0.0,0.31
51,2011-05-17,46.546897888183594,0.0,0.0,0.0,0.0,46.856897888183596,0.0,0.0,0.0,0.0,0.31
52,2011-05-18,47.370330810546875,0.0,0.0,0.0,0.0,47.68033081054688,0.0,0.0,0.0,0.0,0.31
53,2011-05-19,47.70719528198242,0.0,0.0,0.0,0.0,48.017195281982424,0.0,0.0,0.0,0.0,0.31
54,2011-05-20,47.093353271484375,0.0,0.0,0.0,0.0,47.40335327148438,0.0,0.0,0.0,0.0,0.31
55,2011-05-23,46.35975646972656,0.0,0.0,0.0,0.0,46.669756469726565,0.0,0.0,0.0,0.0,0.31
56,2011-05-24,46.57683181762695,0.0,0.0,0.0,0.0,46.886831817626955,0.0,0.0,0.0,0.0,0.31
57,2011-05-25,46.50199508666992,0.0,0.0,0.0,0.0,46.811995086669924,0.0,0.0,0.0,0.0,0.31
58,2011-05-26,46.50199508666992,0.0,0.0,0.0,0.0,46.811995086669924,0.0,0.0,0.0,0.0,0.31
59,2011-05-27,46.741519927978516,0.0,0.0,0.0,0.0,47.05151992797852,0.0,0.0,0.0,0.0,0.31
60,2011-05-31,47.385318756103516,0.0,0.0,0.0,0.0,47.69531875610352,0.0,0.0,0.0,0.0,0.31
61,2011-06-01,44.555667877197266,0.0,0.0,0.0,0.0,44.86566787719727,0.0,0.0,0.0,0.0,0.31
