count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,17.26009178161621,0.0,0.0,0.0,0.0,17.26009178161621,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,17.264745712280273,0.0,0.0,0.0,0.0,17.264745712280273,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,17.15766716003418,0.0,0.0,0.0,0.0,17.15766716003418,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,16.619964599609375,0.0,0.0,0.0,0.0,16.619964599609375,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,16.878341674804688,0.0,0.0,0.0,0.0,16.878341674804688,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,16.727041244506836,0.0,0.0,0.0,0.0,16.727041244506836,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,16.57341766357422,0.0,0.0,0.0,0.0,16.57341766357422,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,16.517545700073242,0.0,0.0,0.0,0.0,16.517545700073242,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,16.626949310302734,0.0,0.0,0.0,0.0,16.626949310302734,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,16.624616622924805,0.0,0.0,0.0,0.0,16.624616622924805,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,16.750316619873047,0.0,0.0,0.0,0.0,16.750316619873047,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,16.666521072387695,0.0,0.0,0.0,0.0,16.666521072387695,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,16.757299423217773,0.0,0.0,0.0,0.0,16.757299423217773,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,16.913259506225586,0.0,0.0,0.0,0.0,16.913259506225586,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,16.780574798583984,0.0,0.0,0.0,0.0,16.780574798583984,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,16.934207916259766,0.0,0.0,0.0,0.0,16.934207916259766,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,16.806182861328125,0.0,0.0,0.0,0.0,16.806182861328125,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,17.27871322631836,0.0,0.0,0.0,0.0,17.27871322631836,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,17.136722564697266,0.0,0.0,0.0,0.0,17.136722564697266,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,17.276382446289062,0.0,0.0,0.0,0.0,17.276382446289062,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,17.513813018798828,0.0,0.0,0.0,0.0,17.513813018798828,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,17.602262496948242,0.0,0.0,0.0,0.0,17.602262496948242,0.0,0.0,0.0,0.0,0.0
