count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,18.172500610351562,0.0,0.0,0.0,0.0,18.172500610351562,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,18.161230087280273,0.0,0.0,0.0,0.0,18.161230087280273,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,18.461841583251953,0.0,0.0,0.0,0.0,18.461841583251953,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,18.32571792602539,0.0,0.0,0.0,0.0,18.47402292602539,0.0,0.0,0.0,0.0,0.148305
5,2011-03-11,18.560155868530273,0.0,0.0,0.0,0.0,18.708460868530274,0.0,0.0,0.0,0.0,0.148305
6,2011-03-14,18.255769729614258,0.0,0.0,0.0,0.0,18.40407472961426,0.0,0.0,0.0,0.0,0.148305
7,2011-03-15,18.134769439697266,0.0,0.0,0.0,0.0,18.283074439697266,0.0,0.0,0.0,0.0,0.148305
8,2011-03-16,17.871967315673828,0.0,0.0,0.0,0.0,18.02027231567383,0.0,0.0,0.0,0.0,0.148305
9,2011-03-17,17.877649307250977,0.0,0.0,0.0,0.0,18.025954307250977,0.0,0.0,0.0,0.0,0.148305
10,2011-03-18,17.58270835876465,0.0,0.0,0.0,0.0,17.73101335876465,0.0,0.0,0.0,0.0,0.148305
11,2011-03-21,17.75853157043457,0.0,0.0,0.0,0.0,17.90683657043457,0.0,0.0,0.0,0.0,0.148305
12,2011-03-22,17.733949661254883,0.0,0.0,0.0,0.0,17.882254661254883,0.0,0.0,0.0,0.0,0.148305
13,2011-03-23,17.834157943725586,0.0,0.0,0.0,0.0,17.982462943725587,0.0,0.0,0.0,0.0,0.148305
14,2011-03-24,17.991071701049805,0.0,0.0,0.0,0.0,18.139376701049805,0.0,0.0,0.0,0.0,0.148305
15,2011-03-25,18.040233612060547,0.0,0.0,0.0,0.0,18.188538612060547,0.0,0.0,0.0,0.0,0.148305
16,2011-03-28,17.90978240966797,0.0,0.0,0.0,0.0,18.05808740966797,0.0,0.0,0.0,0.0,0.148305
17,2011-03-29,18.221731185913086,0.0,0.0,0.0,0.0,18.370036185913087,0.0,0.0,0.0,0.0,0.148305
18,2011-03-30,18.749216079711914,0.0,0.0,0.0,0.0,18.897521079711915,0.0,0.0,0.0,0.0,0.148305
19,2011-03-31,18.628211975097656,0.0,0.0,0.0,0.0,18.776516975097657,0.0,0.0,0.0,0.0,0.148305
20,2011-04-01,18.698169708251953,0.0,0.0,0.0,0.0,18.846474708251954,0.0,0.0,0.0,0.0,0.148305
21,2011-04-04,18.647119522094727,0.0,0.0,0.0,0.0,18.795424522094727,0.0,0.0,0.0,0.0,0.148305
22,2011-04-05,18.72842025756836,0.0,0.0,0.0,0.0,18.87672525756836,0.0,0.0,0.0,0.0,0.148305
23,2011-04-06,18.57906150817871,0.0,0.0,0.0,0.0,18.72736650817871,0.0,0.0,0.0,0.0,0.148305
24,2011-04-07,18.61498260498047,0.0,0.0,0.0,0.0,18.76328760498047,0.0,0.0,0.0,0.0,0.148305
25,2011-04-08,18.389999389648438,0.0,0.0,0.0,0.0,18.538304389648438,0.0,0.0,0.0,0.0,0.148305
26,2011-04-11,18.771900177001953,0.0,0.0,0.0,0.0,18.920205177001954,0.0,0.0,0.0,0.0,0.148305
27,2011-04-12,18.783241271972656,0.0,0.0,0.0,0.0,18.931546271972657,0.0,0.0,0.0,0.0,0.148305
