count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,32.53218078613281,0.0,0.0,0.0,0.0,32.53218078613281,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,32.95194625854492,0.0,0.0,0.0,0.0,32.95194625854492,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,33.122955322265625,0.0,0.0,0.0,0.0,33.122955322265625,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,32.617698669433594,0.0,0.0,0.0,0.0,32.617698669433594,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,32.594364166259766,0.0,0.0,0.0,0.0,32.594364166259766,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,32.330074310302734,0.0,0.0,0.0,0.0,32.330074310302734,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,31.925840377807617,0.0,0.0,0.0,0.0,31.925840377807617,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,31.568256378173828,0.0,0.0,0.0,0.0,31.568256378173828,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,32.00357437133789,0.0,0.0,0.0,0.0,32.00357437133789,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,31.801467895507812,0.0,0.0,0.0,0.0,31.801467895507812,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,32.62545394897461,0.0,0.0,0.0,0.0,32.62545394897461,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,30.479965209960938,0.0,0.0,0.0,0.0,30.479965209960938,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,30.961923599243164,0.0,0.0,0.0,0.0,30.961923599243164,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,31.05521583557129,0.0,0.0,0.0,0.0,31.05521583557129,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,30.814239501953125,0.0,0.0,0.0,0.0,30.814239501953125,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,30.534379959106445,0.0,0.0,0.0,0.0,30.534379959106445,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,31.039669036865234,0.0,0.0,0.0,0.0,31.039669036865234,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,31.094070434570312,0.0,0.0,0.0,0.0,31.094070434570312,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,31.20290184020996,0.0,0.0,0.0,0.0,31.20290184020996,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,31.82478904724121,0.0,0.0,0.0,0.0,31.82478904724121,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,31.739276885986328,0.0,0.0,0.0,0.0,31.739276885986328,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,31.95693588256836,0.0,0.0,0.0,0.0,31.95693588256836,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,32.04244613647461,0.0,0.0,0.0,0.0,32.04244613647461,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,32.127952575683594,0.0,0.0,0.0,0.0,32.127952575683594,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,31.879199981689453,0.0,0.0,0.0,0.0,31.879199981689453,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,32.13572692871094,0.0,0.0,0.0,0.0,32.13572692871094,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,32.08131790161133,0.0,0.0,0.0,0.0,32.08131790161133,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,32.12017822265625,0.0,0.0,0.0,0.0,32.12017822265625,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,32.22123336791992,0.0,0.0,0.0,0.0,32.22123336791992,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,32.547725677490234,0.0,0.0,0.0,0.0,32.547725677490234,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,32.376708984375,0.0,0.0,0.0,0.0,32.376708984375,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,32.9364013671875,0.0,0.0,0.0,0.0,32.9364013671875,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,33.08409881591797,0.0,0.0,0.0,0.0,33.08409881591797,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,33.185157775878906,0.0,0.0,0.0,0.0,33.185157775878906,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,32.998592376708984,0.0,0.0,0.0,0.0,32.998592376708984,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,33.325069427490234,0.0,0.0,0.0,0.0,33.325069427490234,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,33.33284378051758,0.0,0.0,0.0,0.0,33.33284378051758,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,33.55827331542969,0.0,0.0,0.0,0.0,33.55827331542969,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,33.208465576171875,0.0,0.0,0.0,0.0,33.208465576171875,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,32.889774322509766,0.0,0.0,0.0,0.0,32.889774322509766,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,33.5194091796875,0.0,0.0,0.0,0.0,33.5194091796875,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,33.255104064941406,0.0,0.0,0.0,0.0,33.255104064941406,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,33.03745651245117,0.0,0.0,0.0,0.0,33.03745651245117,0.0,0.0,0.0,0.0,0.0
