count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,40.837650299072266,0.0,0.0,0.0,0.0,40.837650299072266,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,41.16733932495117,0.0,0.0,0.0,0.0,41.16733932495117,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,41.63771438598633,0.0,0.0,0.0,0.0,41.63771438598633,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,41.62189865112305,0.0,0.0,0.0,0.0,41.98689865112305,0.0,0.0,0.0,0.0,0.365
5,2011-03-11,41.574466705322266,0.0,0.0,0.0,0.0,41.93946670532227,0.0,0.0,0.0,0.0,0.365
6,2011-03-14,41.361026763916016,0.0,0.0,0.0,0.0,41.72602676391602,0.0,0.0,0.0,0.0,0.365
7,2011-03-15,41.155479431152344,0.0,0.0,0.0,0.0,41.520479431152346,0.0,0.0,0.0,0.0,0.365
8,2011-03-16,40.61792755126953,0.0,0.0,0.0,0.0,40.98292755126953,0.0,0.0,0.0,0.0,0.365
9,2011-03-17,40.61000442504883,0.0,0.0,0.0,0.0,40.97500442504883,0.0,0.0,0.0,0.0,0.365
10,2011-03-18,40.728607177734375,0.0,0.0,0.0,0.0,41.09360717773438,0.0,0.0,0.0,0.0,0.365
11,2011-03-21,41.0448112487793,0.0,0.0,0.0,0.0,41.4098112487793,0.0,0.0,0.0,0.0,0.365
12,2011-03-22,41.10805892944336,0.0,0.0,0.0,0.0,41.47305892944336,0.0,0.0,0.0,0.0,0.365
13,2011-03-23,40.82345962524414,0.0,0.0,0.0,0.0,41.18845962524414,0.0,0.0,0.0,0.0,0.365
14,2011-03-24,41.574466705322266,0.0,0.0,0.0,0.0,41.93946670532227,0.0,0.0,0.0,0.0,0.365
15,2011-03-25,41.38473129272461,0.0,0.0,0.0,0.0,41.74973129272461,0.0,0.0,0.0,0.0,0.365
16,2011-03-28,41.25825500488281,0.0,0.0,0.0,0.0,41.623255004882814,0.0,0.0,0.0,0.0,0.365
17,2011-03-29,41.313602447509766,0.0,0.0,0.0,0.0,41.67860244750977,0.0,0.0,0.0,0.0,0.365
18,2011-03-30,41.39265823364258,0.0,0.0,0.0,0.0,41.75765823364258,0.0,0.0,0.0,0.0,0.365
19,2011-03-31,41.14757537841797,0.0,0.0,0.0,0.0,41.51257537841797,0.0,0.0,0.0,0.0,0.365
20,2011-04-01,41.21083450317383,0.0,0.0,0.0,0.0,41.57583450317383,0.0,0.0,0.0,0.0,0.365
21,2011-04-04,41.62189865112305,0.0,0.0,0.0,0.0,41.98689865112305,0.0,0.0,0.0,0.0,0.365
22,2011-04-05,41.693058013916016,0.0,0.0,0.0,0.0,42.05805801391602,0.0,0.0,0.0,0.0,0.365
23,2011-04-06,41.882781982421875,0.0,0.0,0.0,0.0,42.24778198242188,0.0,0.0,0.0,0.0,0.365
24,2011-04-07,41.89860534667969,0.0,0.0,0.0,0.0,42.26360534667969,0.0,0.0,0.0,0.0,0.365
25,2011-04-08,41.534950256347656,0.0,0.0,0.0,0.0,41.89995025634766,0.0,0.0,0.0,0.0,0.365
26,2011-04-11,41.75629425048828,0.0,0.0,0.0,0.0,42.12129425048828,0.0,0.0,0.0,0.0,0.365
27,2011-04-12,42.309688568115234,0.0,0.0,0.0,0.0,42.674688568115236,0.0,0.0,0.0,0.0,0.365
28,2011-04-13,42.396636962890625,0.0,0.0,0.0,0.0,42.76163696289063,0.0,0.0,0.0,0.0,0.365
29,2011-04-14,42.29386520385742,0.0,0.0,0.0,0.0,42.658865203857424,0.0,0.0,0.0,0.0,0.365
30,2011-04-15,42.3333854675293,0.0,0.0,0.0,0.0,42.6983854675293,0.0,0.0,0.0,0.0,0.365
31,2011-04-18,42.14365768432617,0.0,0.0,0.0,0.0,42.508657684326174,0.0,0.0,0.0,0.0,0.365
32,2011-04-19,42.17527770996094,0.0,0.0,0.0,0.0,42.54027770996094,0.0,0.0,0.0,0.0,0.365
33,2011-04-20,42.444068908691406,0.0,0.0,0.0,0.0,42.80906890869141,0.0,0.0,0.0,0.0,0.365
34,2011-04-21,42.35710144042969,0.0,0.0,0.0,0.0,42.72210144042969,0.0,0.0,0.0,0.0,0.365
35,2011-04-25,42.19109344482422,0.0,0.0,0.0,0.0,42.55609344482422,0.0,0.0,0.0,0.0,0.365
36,2011-04-26,42.617984771728516,0.0,0.0,0.0,0.0,42.98298477172852,0.0,0.0,0.0,0.0,0.365
37,2011-04-27,43.02116394042969,0.0,0.0,0.0,0.0,43.38616394042969,0.0,0.0,0.0,0.0,0.365
38,2011-04-28,43.23460388183594,0.0,0.0,0.0,0.0,43.59960388183594,0.0,0.0,0.0,0.0,0.365
39,2011-04-29,43.46385955810547,0.0,0.0,0.0,0.0,43.82885955810547,0.0,0.0,0.0,0.0,0.365
40,2011-05-02,43.51129913330078,0.0,0.0,0.0,0.0,43.87629913330078,0.0,0.0,0.0,0.0,0.365
41,2011-05-03,43.84330749511719,0.0,0.0,0.0,0.0,44.20830749511719,0.0,0.0,0.0,0.0,0.365
42,2011-05-04,43.77218246459961,0.0,0.0,0.0,0.0,44.13718246459961,0.0,0.0,0.0,0.0,0.365
43,2011-05-05,43.535003662109375,0.0,0.0,0.0,0.0,43.90000366210938,0.0,0.0,0.0,0.0,0.365
44,2011-05-06,43.49549102783203,0.0,0.0,0.0,0.0,43.86049102783203,0.0,0.0,0.0,0.0,0.365
45,2011-05-09,43.55873107910156,0.0,0.0,0.0,0.0,43.923731079101564,0.0,0.0,0.0,0.0,0.365
46,2011-05-10,43.89864730834961,0.0,0.0,0.0,0.0,44.26364730834961,0.0,0.0,0.0,0.0,0.365
47,2011-05-11,43.90263748168945,0.0,0.0,0.0,0.0,44.267637481689455,0.0,0.0,0.0,0.0,0.365
48,2011-05-12,44.34031295776367,0.0,0.0,0.0,0.0,45.07031295776367,0.0,0.0,0.0,0.0,0.73
49,2011-05-13,44.34031295776367,0.0,0.0,0.0,0.0,45.07031295776367,0.0,0.0,0.0,0.0,0.73
50,2011-05-16,44.610877990722656,0.0,0.0,0.0,0.0,45.34087799072265,0.0,0.0,0.0,0.0,0.73
51,2011-05-17,44.19707489013672,0.0,0.0,0.0,0.0,44.927074890136716,0.0,0.0,0.0,0.0,0.73
52,2011-05-18,43.91059494018555,0.0,0.0,0.0,0.0,44.640594940185544,0.0,0.0,0.0,0.0,0.73
53,2011-05-19,44.149330139160156,0.0,0.0,0.0,0.0,44.87933013916015,0.0,0.0,0.0,0.0,0.73
54,2011-05-20,43.99813461303711,0.0,0.0,0.0,0.0,44.728134613037106,0.0,0.0,0.0,0.0,0.73
55,2011-05-23,43.94242858886719,0.0,0.0,0.0,0.0,44.672428588867184,0.0,0.0,0.0,0.0,0.73
56,2011-05-24,43.59227752685547,0.0,0.0,0.0,0.0,44.322277526855466,0.0,0.0,0.0,0.0,0.73
57,2011-05-25,43.41721725463867,0.0,0.0,0.0,0.0,44.14721725463867,0.0,0.0,0.0,0.0,0.73
58,2011-05-26,43.4649658203125,0.0,0.0,0.0,0.0,44.1949658203125,0.0,0.0,0.0,0.0,0.73
59,2011-05-27,43.52863693237305,0.0,0.0,0.0,0.0,44.258636932373044,0.0,0.0,0.0,0.0,0.73
60,2011-05-31,43.94242858886719,0.0,0.0,0.0,0.0,44.672428588867184,0.0,0.0,0.0,0.0,0.73
61,2011-06-01,43.2103157043457,0.0,0.0,0.0,0.0,43.9403157043457,0.0,0.0,0.0,0.0,0.73
62,2011-06-02,42.613487243652344,0.0,0.0,0.0,0.0,43.34348724365234,0.0,0.0,0.0,0.0,0.73
63,2011-06-03,42.70103073120117,0.0,0.0,0.0,0.0,43.43103073120117,0.0,0.0,0.0,0.0,0.73
64,2011-06-06,42.78059768676758,0.0,0.0,0.0,0.0,43.510597686767575,0.0,0.0,0.0,0.0,0.73
65,2011-06-07,42.836307525634766,0.0,0.0,0.0,0.0,43.56630752563476,0.0,0.0,0.0,0.0,0.73
66,2011-06-08,42.72489929199219,0.0,0.0,0.0,0.0,43.454899291992184,0.0,0.0,0.0,0.0,0.73
67,2011-06-09,42.6692008972168,0.0,0.0,0.0,0.0,43.399200897216794,0.0,0.0,0.0,0.0,0.73
68,2011-06-10,41.95298767089844,0.0,0.0,0.0,0.0,42.682987670898434,0.0,0.0,0.0,0.0,0.73
69,2011-06-13,41.8734245300293,0.0,0.0,0.0,0.0,42.603424530029294,0.0,0.0,0.0,0.0,0.73
70,2011-06-14,42.10420227050781,0.0,0.0,0.0,0.0,42.83420227050781,0.0,0.0,0.0,0.0,0.73
71,2011-06-15,41.63469696044922,0.0,0.0,0.0,0.0,42.364696960449216,0.0,0.0,0.0,0.0,0.73
72,2011-06-16,42.0405387878418,0.0,0.0,0.0,0.0,42.770538787841794,0.0,0.0,0.0,0.0,0.73
73,2011-06-17,42.0325813293457,0.0,0.0,0.0,0.0,42.7625813293457,0.0,0.0,0.0,0.0,0.73
74,2011-06-20,42.20765686035156,0.0,0.0,0.0,0.0,42.93765686035156,0.0,0.0,0.0,0.0,0.73
75,2011-06-21,42.40658187866211,0.0,0.0,0.0,0.0,43.136581878662106,0.0,0.0,0.0,0.0,0.73
76,2011-06-22,42.18376922607422,0.0,0.0,0.0,0.0,42.913769226074216,0.0,0.0,0.0,0.0,0.73
77,2011-06-23,42.40658187866211,0.0,0.0,0.0,0.0,43.136581878662106,0.0,0.0,0.0,0.0,0.73
78,2011-06-24,41.70631408691406,0.0,0.0,0.0,0.0,42.43631408691406,0.0,0.0,0.0,0.0,0.73
79,2011-06-27,41.61082077026367,0.0,0.0,0.0,0.0,42.34082077026367,0.0,0.0,0.0,0.0,0.73
80,2011-06-28,41.801795959472656,0.0,0.0,0.0,0.0,42.53179595947265,0.0,0.0,0.0,0.0,0.73
81,2011-06-29,41.889339447021484,0.0,0.0,0.0,0.0,42.61933944702148,0.0,0.0,0.0,0.0,0.73
82,2011-06-30,42.2872314453125,0.0,0.0,0.0,0.0,43.0172314453125,0.0,0.0,0.0,0.0,0.73
83,2011-07-01,42.581661224365234,0.0,0.0,0.0,0.0,43.31166122436523,0.0,0.0,0.0,0.0,0.73
84,2011-07-05,42.48616409301758,0.0,0.0,0.0,0.0,43.216164093017575,0.0,0.0,0.0,0.0,0.73
85,2011-07-06,42.74877166748047,0.0,0.0,0.0,0.0,43.478771667480466,0.0,0.0,0.0,0.0,0.73
86,2011-07-07,43.361515045166016,0.0,0.0,0.0,0.0,44.09151504516601,0.0,0.0,0.0,0.0,0.73
87,2011-07-08,43.035247802734375,0.0,0.0,0.0,0.0,43.76524780273437,0.0,0.0,0.0,0.0,0.73
88,2011-07-11,42.86812973022461,0.0,0.0,0.0,0.0,43.598129730224606,0.0,0.0,0.0,0.0,0.73
89,2011-07-12,42.923851013183594,0.0,0.0,0.0,0.0,43.65385101318359,0.0,0.0,0.0,0.0,0.73
90,2011-07-13,42.987510681152344,0.0,0.0,0.0,0.0,43.71751068115234,0.0,0.0,0.0,0.0,0.73
91,2011-07-14,42.67715072631836,0.0,0.0,0.0,0.0,43.407150726318356,0.0,0.0,0.0,0.0,0.73
92,2011-07-15,42.67715072631836,0.0,0.0,0.0,0.0,43.407150726318356,0.0,0.0,0.0,0.0,0.73
93,2011-07-18,42.430458068847656,0.0,0.0,0.0,0.0,43.16045806884765,0.0,0.0,0.0,0.0,0.73
94,2011-07-19,42.94770431518555,0.0,0.0,0.0,0.0,43.677704315185544,0.0,0.0,0.0,0.0,0.73
95,2011-07-20,42.884063720703125,0.0,0.0,0.0,0.0,43.61406372070312,0.0,0.0,0.0,0.0,0.73
