count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,18.6810245513916,0.0,0.0,0.0,0.0,18.6810245513916,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,19.16802978515625,0.0,0.0,0.0,0.0,19.16802978515625,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,19.310457229614258,0.0,0.0,0.0,0.0,19.310457229614258,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,19.039390563964844,0.0,0.0,0.0,0.0,19.039390563964844,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,19.131277084350586,0.0,0.0,0.0,0.0,19.131277084350586,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,19.12668228149414,0.0,0.0,0.0,0.0,19.12668228149414,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,18.94290542602539,0.0,0.0,0.0,0.0,18.94290542602539,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,18.837236404418945,0.0,0.0,0.0,0.0,18.837236404418945,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,18.993446350097656,0.0,0.0,0.0,0.0,18.993446350097656,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,19.54018211364746,0.0,0.0,0.0,0.0,19.54018211364746,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,19.806663513183594,0.0,0.0,0.0,0.0,19.806663513183594,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,19.820446014404297,0.0,0.0,0.0,0.0,19.820446014404297,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,19.797470092773438,0.0,0.0,0.0,0.0,19.797470092773438,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,19.90773582458496,0.0,0.0,0.0,0.0,19.90773582458496,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,19.96746253967285,0.0,0.0,0.0,0.0,19.96746253967285,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,20.137460708618164,0.0,0.0,0.0,0.0,20.137460708618164,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,20.34880828857422,0.0,0.0,0.0,0.0,20.34880828857422,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,20.4544734954834,0.0,0.0,0.0,0.0,20.4544734954834,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,20.569339752197266,0.0,0.0,0.0,0.0,20.569339752197266,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,20.743925094604492,0.0,0.0,0.0,0.0,20.743925094604492,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,20.900144577026367,0.0,0.0,0.0,0.0,20.900144577026367,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,20.918519973754883,0.0,0.0,0.0,0.0,20.918519973754883,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,21.051755905151367,0.0,0.0,0.0,0.0,21.051755905151367,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,20.835813522338867,0.0,0.0,0.0,0.0,20.835813522338867,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,20.569339752197266,0.0,0.0,0.0,0.0,20.569339752197266,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,20.6198787689209,0.0,0.0,0.0,0.0,20.6198787689209,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,20.550960540771484,0.0,0.0,0.0,0.0,20.550960540771484,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,20.555553436279297,0.0,0.0,0.0,0.0,20.555553436279297,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,20.720956802368164,0.0,0.0,0.0,0.0,20.720956802368164,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,20.785282135009766,0.0,0.0,0.0,0.0,20.785282135009766,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,20.633087158203125,0.0,0.0,0.0,0.0,20.633087158203125,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,20.430166244506836,0.0,0.0,0.0,0.0,20.515166244506837,0.0,0.0,0.0,0.0,0.085
33,2011-04-20,20.8267822265625,0.0,0.0,0.0,0.0,20.9117822265625,0.0,0.0,0.0,0.0,0.085
34,2011-04-21,20.932857513427734,0.0,0.0,0.0,0.0,21.017857513427735,0.0,0.0,0.0,0.0,0.085
35,2011-04-25,20.80833625793457,0.0,0.0,0.0,0.0,20.89333625793457,0.0,0.0,0.0,0.0,0.085
36,2011-04-26,21.214174270629883,0.0,0.0,0.0,0.0,21.299174270629884,0.0,0.0,0.0,0.0,0.085
37,2011-04-27,21.320247650146484,0.0,0.0,0.0,0.0,21.405247650146485,0.0,0.0,0.0,0.0,0.085
38,2011-04-28,21.85059356689453,0.0,0.0,0.0,0.0,21.935593566894532,0.0,0.0,0.0,0.0,0.085
39,2011-04-29,21.786033630371094,0.0,0.0,0.0,0.0,21.871033630371095,0.0,0.0,0.0,0.0,0.085
40,2011-05-02,21.878267288208008,0.0,0.0,0.0,0.0,21.96326728820801,0.0,0.0,0.0,0.0,0.085
41,2011-05-03,21.818317413330078,0.0,0.0,0.0,0.0,21.90331741333008,0.0,0.0,0.0,0.0,0.085
42,2011-05-04,21.550832748413086,0.0,0.0,0.0,0.0,21.635832748413087,0.0,0.0,0.0,0.0,0.085
43,2011-05-05,21.39402961730957,0.0,0.0,0.0,0.0,21.47902961730957,0.0,0.0,0.0,0.0,0.085
44,2011-05-06,21.426313400268555,0.0,0.0,0.0,0.0,21.511313400268556,0.0,0.0,0.0,0.0,0.085
45,2011-05-09,21.62000846862793,0.0,0.0,0.0,0.0,21.70500846862793,0.0,0.0,0.0,0.0,0.085
46,2011-05-10,21.878267288208008,0.0,0.0,0.0,0.0,21.96326728820801,0.0,0.0,0.0,0.0,0.085
47,2011-05-11,21.76297378540039,0.0,0.0,0.0,0.0,21.84797378540039,0.0,0.0,0.0,0.0,0.085
48,2011-05-12,21.859821319580078,0.0,0.0,0.0,0.0,21.94482131958008,0.0,0.0,0.0,0.0,0.085
49,2011-05-13,21.624618530273438,0.0,0.0,0.0,0.0,21.70961853027344,0.0,0.0,0.0,0.0,0.085
50,2011-05-16,21.41708755493164,0.0,0.0,0.0,0.0,21.50208755493164,0.0,0.0,0.0,0.0,0.085
51,2011-05-17,21.223400115966797,0.0,0.0,0.0,0.0,21.308400115966798,0.0,0.0,0.0,0.0,0.085
52,2011-05-18,21.412473678588867,0.0,0.0,0.0,0.0,21.497473678588868,0.0,0.0,0.0,0.0,0.085
53,2011-05-19,21.41708755493164,0.0,0.0,0.0,0.0,21.50208755493164,0.0,0.0,0.0,0.0,0.085
54,2011-05-20,21.163440704345703,0.0,0.0,0.0,0.0,21.248440704345704,0.0,0.0,0.0,0.0,0.085
55,2011-05-23,20.822174072265625,0.0,0.0,0.0,0.0,20.907174072265626,0.0,0.0,0.0,0.0,0.085
56,2011-05-24,20.739158630371094,0.0,0.0,0.0,0.0,20.824158630371095,0.0,0.0,0.0,0.0,0.085
57,2011-05-25,20.743770599365234,0.0,0.0,0.0,0.0,20.828770599365235,0.0,0.0,0.0,0.0,0.085
58,2011-05-26,20.905193328857422,0.0,0.0,0.0,0.0,20.990193328857423,0.0,0.0,0.0,0.0,0.085
59,2011-05-27,21.11733055114746,0.0,0.0,0.0,0.0,21.202330551147462,0.0,0.0,0.0,0.0,0.085
60,2011-05-31,21.4355411529541,0.0,0.0,0.0,0.0,21.520541152954102,0.0,0.0,0.0,0.0,0.085
61,2011-06-01,20.895954132080078,0.0,0.0,0.0,0.0,20.98095413208008,0.0,0.0,0.0,0.0,0.085
62,2011-06-02,20.637704849243164,0.0,0.0,0.0,0.0,20.722704849243165,0.0,0.0,0.0,0.0,0.085
63,2011-06-03,20.296430587768555,0.0,0.0,0.0,0.0,20.381430587768556,0.0,0.0,0.0,0.0,0.085
64,2011-06-06,20.245698928833008,0.0,0.0,0.0,0.0,20.33069892883301,0.0,0.0,0.0,0.0,0.085
65,2011-06-07,20.075063705444336,0.0,0.0,0.0,0.0,20.160063705444337,0.0,0.0,0.0,0.0,0.085
66,2011-06-08,20.111967086791992,0.0,0.0,0.0,0.0,20.196967086791993,0.0,0.0,0.0,0.0,0.085
67,2011-06-09,20.185752868652344,0.0,0.0,0.0,0.0,20.270752868652345,0.0,0.0,0.0,0.0,0.085
68,2011-06-10,19.968990325927734,0.0,0.0,0.0,0.0,20.053990325927735,0.0,0.0,0.0,0.0,0.085
69,2011-06-13,19.87675666809082,0.0,0.0,0.0,0.0,19.96175666809082,0.0,0.0,0.0,0.0,0.085
70,2011-06-14,20.102733612060547,0.0,0.0,0.0,0.0,20.187733612060548,0.0,0.0,0.0,0.0,0.085
71,2011-06-15,19.6968936920166,0.0,0.0,0.0,0.0,19.781893692016602,0.0,0.0,0.0,0.0,0.085
72,2011-06-16,19.835254669189453,0.0,0.0,0.0,0.0,19.920254669189454,0.0,0.0,0.0,0.0,0.085
73,2011-06-17,19.67845344543457,0.0,0.0,0.0,0.0,19.76345344543457,0.0,0.0,0.0,0.0,0.085
74,2011-06-20,19.826026916503906,0.0,0.0,0.0,0.0,19.911026916503907,0.0,0.0,0.0,0.0,0.085
