count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,57.649147033691406,0.0,0.0,0.0,0.0,57.649147033691406,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,57.567481994628906,0.0,0.0,0.0,0.0,57.567481994628906,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,57.41777420043945,0.0,0.0,0.0,0.0,57.41777420043945,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,55.37637710571289,0.0,0.0,0.0,0.0,55.37637710571289,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,55.87993621826172,0.0,0.0,0.0,0.0,55.87993621826172,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,56.05683898925781,0.0,0.0,0.0,0.0,56.05683898925781,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,55.3831787109375,0.0,0.0,0.0,0.0,55.3831787109375,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,53.96780776977539,0.0,0.0,0.0,0.0,53.96780776977539,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,55.22666931152344,0.0,0.0,0.0,0.0,55.22666931152344,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,55.01572799682617,0.0,0.0,0.0,0.0,55.01572799682617,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,56.36984634399414,0.0,0.0,0.0,0.0,56.36984634399414,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,56.17934036254883,0.0,0.0,0.0,0.0,56.17934036254883,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,56.206546783447266,0.0,0.0,0.0,0.0,56.206546783447266,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,56.29499053955078,0.0,0.0,0.0,0.0,56.29499053955078,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,56.900634765625,0.0,0.0,0.0,0.0,56.900634765625,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,56.79856491088867,0.0,0.0,0.0,0.0,56.79856491088867,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,56.64885330200195,0.0,0.0,0.0,0.0,56.64885330200195,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,57.492618560791016,0.0,0.0,0.0,0.0,57.492618560791016,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,57.24765396118164,0.0,0.0,0.0,0.0,57.24765396118164,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,57.621925354003906,0.0,0.0,0.0,0.0,57.621925354003906,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,57.751190185546875,0.0,0.0,0.0,0.0,57.751190185546875,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,58.125465393066406,0.0,0.0,0.0,0.0,58.125465393066406,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,57.96215057373047,0.0,0.0,0.0,0.0,57.96215057373047,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,58.3568229675293,0.0,0.0,0.0,0.0,58.3568229675293,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,58.48612594604492,0.0,0.0,0.0,0.0,58.48612594604492,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,57.94853591918945,0.0,0.0,0.0,0.0,57.94853591918945,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,56.60122299194336,0.0,0.0,0.0,0.0,56.60122299194336,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,56.587615966796875,0.0,0.0,0.0,0.0,56.587615966796875,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,56.77814483642578,0.0,0.0,0.0,0.0,56.77814483642578,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,57.356544494628906,0.0,0.0,0.0,0.0,57.356544494628906,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,56.54678726196289,0.0,0.0,0.0,0.0,56.54678726196289,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,57.023101806640625,0.0,0.0,0.0,0.0,57.023101806640625,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,58.281982421875,0.0,0.0,0.0,0.0,58.281982421875,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,58.76508712768555,0.0,0.0,0.0,0.0,58.76508712768555,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,58.66983413696289,0.0,0.0,0.0,0.0,58.66983413696289,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,59.48638153076172,0.0,0.0,0.0,0.0,59.48638153076172,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,59.73137283325195,0.0,0.0,0.0,0.0,59.73137283325195,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,59.43193817138672,0.0,0.0,0.0,0.0,59.43193817138672,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,59.86748123168945,0.0,0.0,0.0,0.0,59.86748123168945,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,59.18018341064453,0.0,0.0,0.0,0.0,59.18018341064453,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,58.261573791503906,0.0,0.0,0.0,0.0,58.261573791503906,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,57.71038055419922,0.0,0.0,0.0,0.0,57.71038055419922,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,56.22016143798828,0.0,0.0,0.0,0.0,56.22016143798828,0.0,0.0,0.0,0.0,0.0
