count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,313.7458190917969,0.0,0.0,0.0,0.0,313.7458190917969,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,312.71759033203125,0.0,0.0,0.0,0.0,312.71759033203125,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,313.52886962890625,0.0,0.0,0.0,0.0,313.52886962890625,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,310.4535827636719,0.0,0.0,0.0,0.0,310.4535827636719,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,307.6801452636719,0.0,0.0,0.0,0.0,307.6801452636719,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,306.0198669433594,0.0,0.0,0.0,0.0,306.0198669433594,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,304.6991882324219,0.0,0.0,0.0,0.0,304.6991882324219,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,303.9916687011719,0.0,0.0,0.0,0.0,303.9916687011719,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,304.8689880371094,0.0,0.0,0.0,0.0,304.8689880371094,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,303.6898193359375,0.0,0.0,0.0,0.0,303.6898193359375,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,308.9725036621094,0.0,0.0,0.0,0.0,308.9725036621094,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,310.9441223144531,0.0,0.0,0.0,0.0,310.9441223144531,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,306.82171630859375,0.0,0.0,0.0,0.0,306.82171630859375,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,306.9820861816406,0.0,0.0,0.0,0.0,306.9820861816406,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,306.6330261230469,0.0,0.0,0.0,0.0,306.6330261230469,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,308.9725036621094,0.0,0.0,0.0,0.0,308.9725036621094,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,313.4911193847656,0.0,0.0,0.0,0.0,313.4911193847656,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,320.8963317871094,0.0,0.0,0.0,0.0,320.8963317871094,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,318.4715881347656,0.0,0.0,0.0,0.0,318.4715881347656,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,326.0922546386719,0.0,0.0,0.0,0.0,326.0922546386719,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,323.64825439453125,0.0,0.0,0.0,0.0,323.64825439453125,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,322.9169921875,0.0,0.0,0.0,0.0,322.9169921875,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,321.9355163574219,0.0,0.0,0.0,0.0,321.9355163574219,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,324.6104736328125,0.0,0.0,0.0,0.0,324.6104736328125,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,322.1183776855469,0.0,0.0,0.0,0.0,322.1183776855469,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,320.0688781738281,0.0,0.0,0.0,0.0,320.0688781738281,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,317.7306823730469,0.0,0.0,0.0,0.0,317.7306823730469,0.0,0.0,0.0,0.0,0.0
