"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"15.01.2021","24.804,00","25.110,40","25.198,90","24.632,60","251,31M","-1,69%"
"14.01.2021","25.230,90","25.193,00","25.297,40","25.121,10","196,76M","0,13%"
"13.01.2021","25.197,10","25.168,60","25.273,90","25.069,10","206,41M","0,18%"
"12.01.2021","25.151,10","25.241,40","25.303,00","25.080,30","207,30M","0,10%"
"11.01.2021","25.125,10","25.159,20","25.288,60","25.003,30","188,25M","-0,60%"
"08.01.2021","25.275,80","25.340,30","25.369,80","25.151,20","204,98M","0,26%"
"07.01.2021","25.210,20","25.198,60","25.251,30","24.874,30","247,34M","0,43%"
"06.01.2021","25.103,20","24.590,80","25.203,70","24.453,30","275,70M","3,20%"
"05.01.2021","24.325,40","24.199,70","24.405,30","24.162,60","173,80M","-0,05%"
"04.01.2021","24.338,70","24.609,90","24.663,20","24.199,80","213,15M","0,32%"
